Planet Name,Temp,BH
EPIC 220674823 c,747.3158807433292,0.9283974198395647
G 9-40 b,402.89702874904333,0.5738115377557019
GJ 1214 b,518.4051724509364,0.45303172952227555
GJ 3090 b,633.2974086440051,0.6251857111402721
GJ 9827 d,618.0732934987349,0.5890572220696809
HD 135694 b,741.4528208046867,0.9123392458724828
HD 15337 b,913.7350635347923,1.0254399688162312
HD 15337 c,595.469549996449,0.517926128447844
HD 191939 c,546.381818815485,0.5072775714757426
HD 191939 d,495.3015536189921,0.5948299745457406
HD 23472 b,510.6824835341242,0.3965574653842397
HD 23472 c,429.08082833502664,0.5415073138613316
HD 235088 b,740.2020972302571,0.8999472675405699
HD 28109 b,884.598005972789,1.0060580091395075
HD 42813 b,693.1593415499656,0.7713445013609276
HD 73583 c,455.17318855183214,0.4568662333814383
HIP 116454 b,688.809809355346,0.700608896498434
HIP 29442 d,890.1988681965536,1.0320139255732879
HIP 8152 b,796.2541155303562,0.9965223294640898
K2-138 d,904.0866069151293,1.0127858966080456
K2-138 f,679.0198320832703,0.9822146068971792
K2-138 g,456.549298629702,0.5811455219273778
K2-146 b,544.625244078108,0.4330570216239586
K2-18 b,258.59024707677503,0.9527236281733378
K2-199 b,836.9731497369845,1.0202928861978302
K2-222 b,796.9010375834883,0.9968673868940507
K2-229 c,751.3834233335698,0.8927828008658011
K2-266 d,492.5680960713295,0.47098931166107144
K2-277 b,959.0222454982054,1.0199180234945755
K2-285 b,996.385356653742,1.0073479098397964
K2-3 b,458.38179871709923,0.4835168802246657
K2-3 c,340.0930379295686,0.71643979917857
K2-32 c,579.475524728098,0.520432301538635
K2-32 d,502.3215589512963,0.5386453176145986
K2-36 c,781.4443296604012,0.9766751711965976
K2-38 c,843.7421253352328,1.012208883469447
K2-73 b,964.3127307539523,1.0076344124896524
KOI-142 b,737.4882436372785,0.8997693561747148
Kepler-102 e,540.4645538573974,0.4670270279530952
Kepler-11 b,854.4932460381308,1.1137571787470386
Kepler-11 c,788.020365887701,0.9917278515317037
Kepler-11 d,654.7318701859027,0.6744985517538166
Kepler-11 f,515.5363901210277,0.6008510383310223
Kepler-114 c,593.247952893981,0.5016795754924723
Kepler-114 d,522.4437983010259,0.5163499400172278
Kepler-128 c,848.784297522524,1.048849439724328
Kepler-138 c,410.1037820416077,0.5601958052451674
Kepler-138 d,345.2798479019328,0.7134326369912516
Kepler-1655 b,857.9317668028139,1.023120122365506
Kepler-177 b,633.2958185996449,0.6617168654205204
Kepler-19 b,778.7669559520806,0.9884143638987712
Kepler-23 d,922.7951951195258,1.0343218126197784
Kepler-24 c,855.620998144413,1.006912465179893
Kepler-26 b,422.430545103582,0.5867198653907456
Kepler-26 c,377.1942958047673,0.6514482796965049
Kepler-28 b,678.1024947998193,0.8491576879817215
Kepler-28 c,589.7350143260494,0.5913364050733457
Kepler-289 b,574.0385441239465,0.5499409712160037
Kepler-289 d,459.91525763282215,0.5642697877880549
Kepler-29 b,696.8433652009023,0.7973367040155586
