Planetary Radius,Planetary Mass,Planetary Temperature,Mean Molecular Weight,Pressure at top of Cloud Deck,Reference Pressure,Stellar Radius, Planet Name
2.733,8.41,567.0,18,1E+02,1.00E-02,0.216,GJ1214b
4.60,9.9,204.4,18,1E+02,1.00E-02,0.230,TOI6438b
