Planet Name,Temp,BH
EPIC 220674823 c,747.3158807433292,0.4272693445491323
G 9-40 b,402.89702874904333,0.2910200027251136
GJ 1214 b,518.4051724509364,0.22767170052386976
GJ 3090 b,633.2974086440051,0.29316046044353095
GJ 9827 d,618.0732934987349,0.27986426096574735
HD 135694 b,741.4528208046867,0.40827372745759327
HD 15337 b,913.7350635347923,0.4855220337079963
HD 15337 c,595.469549996449,0.25668651616973764
HD 191939 c,546.381818815485,0.24619239601418894
HD 191939 d,495.3015536189921,0.24765045748703168
HD 23472 b,510.6824835341242,0.20486184312382166
HD 23472 c,429.08082833502664,0.2716742846642326
HD 235088 b,740.2020972302571,0.42337843504993405
HD 28109 b,884.598005972789,0.43413059297079326
HD 42813 b,693.1593415499656,0.35544752918492817
HD 73583 c,455.17318855183214,0.23428566275149307
HIP 116454 b,688.809809355346,0.34740364881768737
HIP 29442 d,890.1988681965536,0.49301366235866
HIP 8152 b,796.2541155303562,0.4730451009855809
K2-138 d,904.0866069151293,0.4646569453784336
K2-138 f,679.0198320832703,0.2969287149590088
K2-138 g,456.549298629702,0.27034656645088173
K2-146 b,544.625244078108,0.21955139407820282
K2-18 b,258.59024707677503,0.4954578593772174
K2-199 b,836.9731497369845,0.49635751162315944
K2-222 b,796.9010375834883,0.47831414438045033
K2-229 c,751.3834233335698,0.43634033271845957
K2-266 d,492.5680960713295,0.23603041998065843
K2-277 b,959.0222454982054,0.46620142700797823
K2-285 b,996.385356653742,0.4529959286212454
K2-3 b,458.38179871709923,0.24437915974499622
K2-3 c,340.0930379295686,0.36213488871243815
K2-32 c,579.475524728098,0.25231066320116413
K2-32 d,502.3215589512963,0.25307012294833764
K2-36 c,781.4443296604012,0.43189284941936534
K2-38 c,843.7421253352328,0.47872759516772784
K2-73 b,964.3127307539523,0.454470618912134
KOI-142 b,737.4882436372785,0.40831074816153995
Kepler-102 e,540.4645538573974,0.23201013237948476
Kepler-11 b,854.4932460381308,0.44597595351677355
Kepler-11 c,788.020365887701,0.3379379987396343
Kepler-11 d,654.7318701859027,0.3140699920973102
Kepler-11 f,515.5363901210277,0.24934000808913898
Kepler-114 c,593.247952893981,0.24926238020497285
Kepler-114 d,522.4437983010259,0.2444713821121525
Kepler-128 c,848.784297522524,0.4918310439877968
Kepler-138 c,410.1037820416077,0.28249366251081626
Kepler-138 d,345.2798479019328,0.3581263370637225
Kepler-1655 b,857.9317668028139,0.4637345216489154
Kepler-177 b,633.2958185996449,0.28532964046842535
Kepler-19 b,778.7669559520806,0.4672062652983191
Kepler-23 d,922.7951951195258,0.44510887495805573
Kepler-24 c,855.620998144413,0.4744483224074948
Kepler-26 b,422.430545103582,0.28662854220971967
Kepler-26 c,377.1942958047673,0.3250207663276815
Kepler-28 b,678.1024947998193,0.3432977323296736
Kepler-28 c,589.7350143260494,0.27357117401237296
Kepler-289 b,574.0385441239465,0.2555991170975844
Kepler-289 d,459.91525763282215,0.2694088817010758
Kepler-29 b,696.8433652009023,0.3658533766032134
Kepler-29 c,640.9125797956983,0.30137653517722107
Kepler-305 c,728.4942179212592,0.3744389635253443
