#wave spectrum spectrum_w_rand error_w_floor
0.8309000134468079 0.013440616795784078 0.0133241167039084 0.0006265771915408575
0.8317999839782715 0.013440031374138564 0.013690020515564203 0.0005519583821895894
0.8327999711036682 0.013439380892719534 0.013444201948618048 0.0005425349369512873
0.8338000178337097 0.013438730372528317 0.012420195003481535 0.0005372890500228432
0.8348000049591064 0.013438079891109289 0.013027210588180725 0.0005344394558817472
0.8356999754905701 0.01343749446946377 0.013718316031723 0.0005327627995304902
0.8367000222206116 0.013436843949272364 0.013573858791583368 0.0005322986555970971
0.8377000093460083 0.013436193467853333 0.01379124719424785 0.0005323765613113551
0.8385999798774719 0.01343560804620781 0.013443743701834184 0.0005324387499215244
0.8396000266075134 0.013434957526016506 0.012802933996423783 0.0005328464211336225
0.8406000137329102 0.013434307044597471 0.013630340925263124 0.0005333960640960386
0.8414999842643738 0.013433721622951889 0.013748383506938943 0.0005339690048456726
0.8424999713897705 0.013433071141532797 0.012683955966871137 0.0005346225186031638
0.843500018119812 0.013432420621341498 0.013908745901381966 0.0005353890602402959
0.8445000052452087 0.01343177013992246 0.013468819035851766 0.0005359679908207242
0.8453999757766724 0.013431184718276914 0.012542339685893751 0.0005367162855242528
0.8464000225067139 0.013430534198085658 0.013126088855532004 0.0005374925423168158
0.8474000096321106 0.0134298837166666 0.014047849935481386 0.0005382993953485448
0.8482999801635742 0.013429298295021073 0.013001072059400877 0.0005390765110696574
0.8493000268936157 0.013428647774829742 0.01468750553829589 0.0005398068392623898
0.8503000140190125 0.013427997293410772 0.013253256834575072 0.0005402102972653098
0.8511999845504761 0.013427411871765159 0.013534923529469743 0.0005406188570570531
0.8521999716758728 0.01342676139034598 0.0128405986005571 0.0005400416444624899
0.8532000184059143 0.01342648116675722 0.01283019487152684 0.0005364739589504594
0.854200005531311 0.013426520603609885 0.014464919329897338 0.0005303476673814635
0.8550999760627747 0.013426556096071933 0.013755526250470381 0.0005237956152421382
0.8561000227928162 0.013426595535275159 0.012722730401436302 0.000516858825789632
0.8571000099182129 0.013426634972127637 0.013098178432116605 0.0005102441987806834
0.8579999804496765 0.013426670464589736 0.013823851583811005 0.0005040120996526983
0.859000027179718 0.013426709903793133 0.01380195557139512 0.0004977505855221525
