Planet Name,Tsm,Temp,A/H,Feature Height (ppm),scale height (m)
EPIC 220674823 c,21.423367154339076,747.3158807433292,10.351889373360809,112.19612181155613,141916.52198705147
G 9-40 b,92.56090109201843,402.89702874904333,12.065976889969829,413.52329515877096,62667.79643568771
GJ 1214 b,380.58475799071584,518.4051724509364,11.139731460885823,1362.184799583551,79351.60995951768
GJ 3090 b,201.5910265223682,633.2974086440051,11.998855484297742,375.0774336283187,148259.8648468228
GJ 9827 d,150.57163430639253,618.0732934987349,12.128367197182628,260.1689224362308,138282.2905977288
HD 135694 b,82.91762737139037,741.4528208046867,10.78083501050331,119.00624674648616,170992.6001637132
HD 15337 b,41.34256562893766,913.7350635347923,9.449339198344955,45.63612701717856,75681.37107470707
HD 15337 c,75.16233013055702,595.469549996449,10.913404221063757,95.82313899010944,96412.13990602888
HD 191939 c,97.58276113353516,546.381818815485,11.174376160607522,127.95783446121838,120157.56710485306
HD 191939 d,208.18833961192578,495.3015536189921,14.002272423287964,342.07821447162945,273469.2258427392
HD 23472 b,32.80737404459014,510.6824835341242,11.0274936244681,48.793076522644334,42314.65220555864
HD 23472 c,54.97476716260978,429.08082833502664,12.221306482691668,90.61309213951067,75835.24484483543
HD 235088 b,86.8058730661382,740.2020972302571,10.977548561072616,116.18883394065593,120757.09690484662
HD 28109 b,34.7657756294522,884.598005972789,10.319012970940758,64.10619469026545,177935.24286065917
HD 42813 b,98.54001939550955,693.1593415499656,10.388235271424678,148.39692868297803,152652.38536237268
HD 73583 c,56.40823006039416,455.17318855183214,11.329620410690275,78.0311035918791,46195.94855279688
HIP 116454 b,44.57824766049995,688.809809355346,10.076326314692897,85.14029151483618,74605.85601188792
HIP 29442 d,20.235377879997415,890.1988681965536,9.717806924048158,28.959396147839634,70605.69601696428
HIP 8152 b,33.91555133844074,796.2541155303562,9.747670580385199,70.08250910983877,99186.33414687098
K2-138 d,18.613477156190406,904.0866069151293,9.520818879345839,90.49232170744418,112378.64850195548
K2-138 f,123.78643875138921,679.0198320832703,23.679148005016703,1473.3625715773028,605468.0452906128
K2-138 g,35.07435605351397,456.549298629702,12.554511514373592,221.34005726184262,165350.4363473738
K2-146 b,34.429142242096944,544.625244078108,11.182378192152841,379.28904216553855,68364.84372528653
K2-18 b,32.105484348174635,258.59024707677503,12.322139379610956,127.87194169703318,28063.842065040488
K2-199 b,14.976231352518102,836.9731497369845,9.594218727325035,58.84669442998431,62568.79489513605
K2-222 b,24.906318460555767,796.9010375834883,9.694884688891559,42.10775637688701,87181.43497398244
K2-229 c,22.63435097456312,751.3834233335698,10.023699748638148,65.5097605413846,76235.77055509656
K2-266 d,43.129900171389025,492.5680960713295,11.269784450665776,144.19976574700706,81886.9436537347
K2-277 b,27.500717597600463,959.0222454982054,9.402024015743708,61.048542425820095,106709.1295281135
K2-285 b,29.20601820959535,996.385356653742,9.080144524442062,119.0899271212916,119002.1084064885
K2-3 b,44.41486574742609,458.38179871709923,11.737431875080613,143.9498958875588,66757.5976403635
K2-3 c,27.72475038303217,340.0930379295686,12.652883801162789,96.86504424778774,54736.755940801624
K2-32 c,31.641722840345306,579.475524728098,10.973590727071032,148.4155387818846,121101.9710224807
K2-32 d,45.55693747758743,502.3215589512963,11.735216846758382,228.5157470067673,156843.47529252936
K2-36 c,79.22859765968006,781.4443296604012,10.278323166177266,293.54502863092154,174571.78732331248
K2-38 c,14.262540866364189,843.7421253352328,9.588564360718518,47.321707444039454,91876.77738485707
K2-73 b,14.712565203488378,964.3127307539523,9.239144611502157,67.48854763144203,120246.55245999154
KOI-142 b,21.094740970652186,737.4882436372785,10.180196713311474,181.30127537740796,158141.69517858067
Kepler-102 e,28.45391124711249,540.4645538573974,11.538795664974584,117.49310255075487,93323.70556593656
Kepler-11 b,9.012470959223341,854.4932460381308,14.907059317158339,156.58342009370116,251132.65755153963
Kepler-11 c,22.423112100048613,788.020365887701,14.725502304687582,378.82313899010916,385750.40093367547
Kepler-11 d,9.508568893714662,654.7318701859027,10.815737083441752,117.98906819364906,150471.0523220225
Kepler-11 f,13.674098418968368,515.5363901210277,15.049907756564547,239.85150963040095,275442.6408532618
Kepler-114 c,14.689979522025112,593.247952893981,11.850877970219653,160.20705361790732,93480.56553521345
Kepler-114 d,36.721427895910196,522.4437983010259,12.237667735323972,413.5501041124415,147781.19103337167
Kepler-128 c,3.4067953946285487,848.784297522524,10.723274858716307,15.638079125455457,100124.92717650812
Kepler-138 c,23.61346728258667,410.1037820416077,12.538517413786922,122.15629880270686,70068.52605300704
Kepler-138 d,21.774378099069818,345.2798479019328,12.928746880834277,116.14809994794396,64611.37455437551
Kepler-1655 b,19.847203674222666,857.9317668028139,10.29262930760076,75.88144195731377,134098.82290610365
Kepler-177 b,5.744231125987286,633.2958185996449,11.617238152477913,139.96043727225396,228945.97406045368
Kepler-19 b,16.87520454534936,778.7669559520806,10.230094674580096,86.66397709526305,107367.35668008943
Kepler-23 d,3.9697897967041036,922.7951951195258,10.80003118940777,45.67751171264965,174315.70611782317
Kepler-24 c,2.5094984184978615,855.620998144413,9.409556785569245,48.15773034877658,93293.12518479573
Kepler-26 b,18.01730324420867,422.430545103582,12.184995950612704,374.2705622071839,109895.04048260066
Kepler-26 c,12.249285644119853,377.1942958047673,12.160759189334351,257.97722540343545,77573.67812557938
Kepler-28 b,19.250651509933622,678.1024947998193,16.085459492440965,518.3090838105152,275156.48863106157
Kepler-28 c,11.283914613158366,589.7350143260494,13.44048500667469,253.85437272254052,170144.0044003882
Kepler-289 b,8.081796610901288,574.0385441239465,12.224623921137775,133.00052056220736,165783.45004053836
Kepler-289 d,8.227889748026426,459.91525763282215,12.131881840285002,132.2778500780844,136533.43426930168
Kepler-29 b,8.108379917860276,696.8433652009023,11.144794626267602,218.3313378448725,156188.3635937761
Kepler-29 c,6.4029813585067545,640.9125797956983,11.388730607535543,176.18440916189482,134406.77043805696
Kepler-305 c,12.326695672141481,728.4942179212592,11.181074783872214,346.2587194169701,227879.83028374962
Kepler-305 d,5.616327063515335,574.5888941913845,11.253870600917205,158.79060385216056,121670.93656637974
Kepler-307 b,6.945518296548382,698.1311867235428,10.314270571577582,95.20353982300887,95494.81674118715
Kepler-307 c,9.763524258146393,647.0207600274839,11.800465050740101,153.11426340447682,148274.11560624657
Kepler-36 c,18.8800531137613,946.2317423639225,10.682568923504952,120.10176991150452,309578.44003205764
Kepler-454 b,19.457020448937953,839.0134469985376,10.478876798632177,86.63651743883388,150409.40818321187
Kepler-48 b,11.40032678547549,930.5708465490327,10.706317174559077,96.35346173867781,143870.60442127407
Kepler-48 d,3.4818989371199565,447.7218758492151,11.405595286213027,31.350468505986424,40494.73964444452
Kepler-49 b,7.796183800487273,583.2154383713925,10.615766831421448,129.28357626236334,68429.01382461039
Kepler-49 c,6.735064744569971,507.79520306792375,11.130710012121371,117.10476314419631,62380.68326228194
Kepler-57 c,3.9328638706450336,671.623018395416,10.444487024492656,72.09513274336295,81370.92948867661
Kepler-60 d,3.796622794312524,914.1796773677027,10.690415961167512,53.223321186881755,149984.89850302684
Kepler-79 c,12.377247866777424,718.553781094241,11.606823077176363,194.98802706923465,290466.6634021691
Kepler-79 e,10.236862154664434,500.13405791641117,12.978976283388574,180.33407079646005,256068.74677828976
Kepler-80 b,12.511312412931469,647.72574901053,10.72904698173783,188.61400312337344,114837.46548563139
Kepler-80 c,12.575319366396672,585.8899845054118,11.061212709909968,195.4482040603851,112476.15251955237
Kepler-80 d,3.189986696516236,854.8840117569546,9.46117135658294,42.40760020822486,51096.29759060936
Kepler-80 e,5.1898997920019,744.1113325853721,10.586263520541406,77.19898490369582,79493.3832965865
Kepler-81 c,13.396195167182265,514.2074467484541,11.919681323918002,247.60307131702226,115762.9930939591
Kepler-83 b,24.699917949791043,520.6348493562614,13.558123759624467,664.3020562207184,244434.17420892505
Kepler-83 c,16.0594011695097,409.4289060348501,14.159017366140795,458.2182457053617,193601.9012112298
