# File_Name,Equilibrium_Temperature,Uncertainty_on_Equilibrium_Temperature,Feature_Depth,Feature_Depth_Error,B_H,B_H_Error,Number_of_Transits
GJ 1214 b,518.4051724509364,7.993180029666558,0.0013259655619193445,0.00011444673115626397,1.7780433848422983,0.18365098831532276,None
GJ 3090 b,633.2974086440051,16.097027491855087,0.000494881697437195,5.784573466649067e-05,2.4870631563125656,0.694420030445897,None
HD 191939 d,495.3015536189921,12.926390363198616,0.00035068330585551655,3.173962922095323e-05,1.6813821586519224,0.4095581100579808,None
K2-138 d,904.0866069151292,14.073875722133884,-0.00019534602634706407,0.0001493879644003328,-3.896866884103267,3.0830655365068966,None
K2-138 f,679.0198320832703,10.564120905919202,0.0022107035100917246,0.0001372456520111473,2.6932831592959294,2.750869249088583,None
K2-18 b,258.59024707677503,13.542313735145688,0.00016171795978427769,6.997665853728956e-05,2.567653465425853,1.4098107981527483,None
L 98-59 d,380.6579289272226,9.834606820421872,0.0006398253764386803,7.141523612265243e-05,2.076264302010343,0.2911768231587989,None
LHS 1140 b,206.2954597930245,3.964814102954924,0.00024177381731753551,6.834175864379624e-05,2.212986895165386,0.6384697882047847,None
TOI-1064 c,579.3909550668909,9.591301297596027,0.0007122311039573384,7.180768380955812e-05,2.298568866646183,1.7651090363715332,None
TOI-1136 c,968.0736471778304,20.186859438498992,0.0002027901095840441,5.026408678702781e-05,1.819539070978263,0.5915591810721422,None
TOI-1260 b,797.7959315744145,20.86990491134148,0.00022749546835164444,8.92426950377881e-05,3.2350617435023445,1.4100375083964165,None
TOI-1422 b,794.9064396922664,14.937299358257246,0.00023926459707202517,7.303107685429108e-05,1.752555412270959,0.65686643294767,None
TOI-1468 c,309.3002161642257,5.94341003273972,0.00020460708334289496,7.048058794029835e-05,1.3403393041086737,0.604451989382491,None
TOI-1758 b,545.6554296510881,23.83363858332177,0.0003375182025185169,6.672429082675701e-05,1.8517079691952993,1.768094471125982,None
TOI-1799 b,911.8033990403044,35.409896800441935,-7.184905970097802e-06,4.8174123845644694e-05,-0.27609702367121036,1.8568477487662267,None
TOI-270 d,355.0128252545304,8.1068818515895,0.0002609698285878496,6.108247722821784e-05,1.9271856266517255,0.4785261499421417,None
TOI-4438 b,398.37200521627,19.29467562934845,0.0005124762863795099,7.712825375661657e-05,2.045018478412354,0.6106464643949249,None
TOI-521 b,726.3156808218597,32.165150010429485,0.0001871897372899673,0.00017639173305626605,1.23630504672172,1.216495169084417,None
TOI-561 c,725.5623780453545,9.465545095374008,0.0002430055358387292,5.638818742454705e-05,2.0724931651712053,0.5402225787432506,None
TOI-969 b,986.93862588902,21.183860583574,0.0002010263493805399,0.00010395183833979684,1.6143793672090503,0.8656587999073562,None
