pl_name,pl_orbper,pl_orbsmax,pl_bmasse,pl_rade,pl_radelim,pl_radeerr1,pl_radeerr2,pl_trandep,pl_trandur,pl_bmasselim,pl_bmasseerr2,pl_bmasseerr1,pl_orbeccen,pl_orbincl,st_rad,st_mass,st_teff,pl_ratror,st_met,st_metlim,sy_jmag,pl_controv_flag,st_logg,st_tefferr1,st_tefferr2,st_raderr1,st_raderr2,pl_orbsmaxerr1,pl_orbsmaxerr2,sy_jmagerr1,sy_jmagerr2,pl_bmasseerr_avg,pl_radeerr_avg,st_tefferr_avg,st_raderr_avg,pl_orbsmaxerr_avg,sy_jmagerr_avg,g_planet_cgs,g_planet_cgs_err,pl_Teq,pl_Teq_err,pl_tsm,pl_tsm_err
K2-141 b,0.2803244,0.00747,4.97,1.51,0.0,0.05,-0.05,0.0507,0.94,0.0,-0.34,0.35,0.0,86.3,0.681,0.708,4570.0,0.02088,0.0,0.0,9.086,0.0,4.62,100.0,-100.0,0.018,-0.018,0.0001,-0.0001,0.021,-0.021,0.345,0.05,100.0,0.018,0.0001,0.021,2140.488045626801,205.3577458151827,1924.5864336824945,50.8570248885684,55.18082567653348,7.4592114402602165
K2-266 b,0.658524,0.01306,11.26782377,3.3,0.0,1.8,-1.3,0.18,0.33336,0.0,-11.3711983,11.3711983,,75.32,0.703,0.686,4285.0,0.043,-0.12,0.0,9.611,0.0,4.581,49.0,-57.0,0.024,-0.022,0.0002,-0.00021,0.027,-0.027,11.3711983,1.55,53.0,0.023,0.000205,0.027,1016.0673093919454,1400.881505862939,1386.6436440731543,30.448813569499514,137.014319673393,237.6670608841704
L 98-59 d,7.450729,0.0494,1.64,1.627,0.0,0.041,-0.041,0.1445,0.84,0.0,-0.07,0.07,0.006,88.44,0.3155,0.2923,3415.0,0.0448,-0.46,0.0,7.933,0.0,4.91,60.0,-60.0,0.0062,-0.0062,0.0016,-0.0016,0.027,-0.027,0.07,0.041,60.0,0.0062,0.0016,0.027,608.385780179526,40.18084186574586,380.6579289272226,9.834606820421872,327.8124994124873,32.62331466985521
TOI-132 b,2.1097019,0.026,22.4,3.42,0.0,0.13,-0.14,0.13097297,2.1344043,0.0,-1.92,1.9,0.059,85.03,0.9,0.97,5397.0,0.0356,0.16,0.0,10.141,0.0,4.48,46.0,-46.0,0.02,-0.02,0.002,-0.003,0.022,-0.022,1.91,0.135,46.0,0.02,0.0025,0.022,1880.6419475003672,218.53750856242337,1400.5382162090598,70.13177707914791,37.038229163477624,5.958390903598155
TOI-1410.01,1.21687,0.0207,12.5,3.10083009,0.0,0.22026793,-0.1612362,0.124,1.1120799,0.0,-1.0,1.1,0.0,,0.7558,0.7941,4635.0,0.03761441,0.328,0.0,9.251,0.0,4.579,52.0,-52.0,0.024,-0.02,0.0004,-0.0004,0.022,-0.022,1.05,0.190752065,52.0,0.022,0.0004,0.022,1276.6280606412622,190.18371483823196,1235.3100496803152,25.646862614629296,93.21720246548018,19.782549463857894
TOI-2015 b,3.348237,0.029322,9.2,3.309,0.0,0.013,-0.011,0.87,0.9876,0.0,-0.35,0.32,0.0789,87.61,0.3273,0.3041,3297.0,0.09278,-0.31,0.0,11.118,0.0,5.04,14.0,-28.0,0.0029,-0.0051,3e-06,-3e-06,0.022,-0.022,0.33499999999999996,0.012,21.0,0.004,3e-06,0.022,825.0962353491194,30.634468417644587,485.8510214454358,4.28848974299215,136.6229168997521,6.440519673134637
TOI-2443 b,15.66858,0.105,4.8,2.363,0.0,0.066,-0.066,0.13933815,4.548,0.0,-1.1,1.1,0.301,89.72,0.631,0.642,4375.0,0.03436,-0.29,0.0,7.26,0.0,4.42,65.0,-65.0,0.014,-0.014,0.0025,-0.0025,0.021,-0.021,1.1,0.066,65.0,0.014,0.0025,0.021,844.158711541944,199.11740056562215,473.0489169237217,10.42344632392082,145.33419406171032,36.21316562600046
TOI-5398 c,4.77271,0.057,11.8,3.52,0.0,0.19,-0.19,0.092,3.127,0.0,-4.7,4.8,0.14,88.4,1.051,1.146,6000.0,0.0308,0.09,0.0,9.026,0.0,4.44,75.0,-75.0,0.013,-0.013,0.003,-0.003,0.021,-0.021,4.75,0.19,75.0,0.013,0.003,0.021,935.2053721385209,389.7625281490228,1136.3788590153822,33.84463404529471,76.22082870779379,33.2111921145354
TOI-544 b,1.548352,0.0225,2.89,2.018,0.0,0.076,-0.076,0.09264111,1.21,0.0,-0.48,0.48,0.0,,0.623,0.631,4169.0,0.0297,-0.17,0.0,8.592,0.0,4.68,70.0,-70.0,0.012,-0.012,0.0002,-0.0002,0.026,-0.026,0.48,0.076,70.0,0.012,0.0002,0.026,696.8925655667219,127.09321165433157,967.5927919273252,19.21664400692021,170.82550732172933,35.16388404087042
pi Men c,6.2678399,0.06839,3.63,2.0189,0.0,0.0465,-0.0448,0.026759,2.952024,0.0,-0.38,0.38,0.0,87.045,1.17,1.07,5998.0,0.015844,0.09,0.0,4.869,0.0,4.43,62.0,-62.0,0.02,-0.02,0.0005,-0.0005,0.272,-0.272,0.38,0.045649999999999996,62.0,0.02,0.0005,0.272,874.5553915468021,99.72868904207621,1094.2361427063074,15.21197120287686,242.52006510755442,43.79641696722197
