pl_name,pl_orbper,pl_orbsmax,pl_bmasse,pl_rade,pl_radelim,pl_radeerr1,pl_radeerr2,pl_trandep,pl_trandur,pl_bmasselim,pl_bmasseerr2,pl_bmasseerr1,pl_orbeccen,pl_orbincl,st_rad,st_mass,st_teff,pl_ratror,st_met,st_metlim,sy_jmag,pl_controv_flag,st_logg,st_tefferr1,st_tefferr2,st_raderr1,st_raderr2,pl_orbsmaxerr1,pl_orbsmaxerr2,sy_jmagerr1,sy_jmagerr2,pl_bmasseerr_avg,pl_radeerr_avg,st_tefferr_avg,st_raderr_avg,pl_orbsmaxerr_avg,sy_jmagerr_avg,g_planet_cgs,g_planet_cgs_err,pl_Teq,pl_Teq_err,pl_tsm,pl_tsm_err
LHS 1140 b,24.73723,0.0946,5.6,1.73,0.0,0.025,-0.025,0.538,2.15,0.0,-0.19,0.19,0.043,89.86,0.2159,0.1844,3096.0,0.0739,-0.15,0.0,9.612001,0.0,5.041,48.0,-48.0,0.003,-0.003,0.0017,-0.0017,0.023,-0.023,0.19,0.025,48.0,0.003,0.0017,0.023,1837.4102438056145,81.89282407127625,206.29545979302452,3.9648141029549238,61.64601573983464,4.035096942019602
LTT 3780 c,12.252284,0.0757,8.04,2.39,0.0,0.1,-0.11,0.3355,1.54,0.0,-0.48,0.5,0.024,88.958,0.38,0.381,3358.0,0.0579,0.06,0.0,9.007,0.0,4.85,92.0,-92.0,0.012,-0.012,0.0018,-0.0018,0.03,-0.03,0.49,0.10500000000000001,92.0,0.012,0.0018,0.03,1382.1989521690177,147.80341061724,331.84288879236016,11.210527637806445,77.67361558813423,12.621998456802931
TOI-1064 c,12.226574,0.09429,2.5,2.651,0.0,0.043,-0.042,0.12063693,2.37,0.0,-2.0,1.8,0.088,88.455,0.726,0.748,4734.0,0.03347,0.05,0.0,9.097,0.0,4.6,67.0,-67.0,0.007,-0.007,0.00132,-0.00136,0.023,-0.023,1.9,0.042499999999999996,67.0,0.007,0.00134,0.023,349.325963634453,265.7238957413848,579.3909550668909,9.591301297596027,156.44373983611987,119.21292438188392
TOI-1136 c,6.2574,0.0669,6.32,2.879,0.0,0.06,-0.062,0.0813,3.4880319,0.0,-1.3,1.1,0.11,88.8,0.968,1.022,5770.0,0.02725,0.07,0.0,8.363,0.0,4.47,50.0,-50.0,0.036,-0.036,0.0005,-0.0005,0.02,-0.02,1.2000000000000002,0.061,50.0,0.036,0.0005,0.02,748.7624576060178,145.6677388172651,968.0736471778304,20.186859438498992,106.11470457862127,22.794746180261036
TOI-1136 f,26.321,0.174,9.7,3.73591482,0.0,0.08619766,-0.07925738,0.08,5.1779232,0.0,-3.7,3.9,0.001,89.3,0.968,1.022,5770.0,0.03577715,0.07,0.0,8.363,0.0,4.47,50.0,-50.0,0.036,-0.036,0.002,-0.002,0.02,-0.02,3.8,0.08272752,50.0,0.036,0.002,0.02,682.4771503318548,269.0652479974543,600.2702678051772,12.788660633447407,93.67533401864435,37.93034071044586
TOI-1201 b,2.4919863,0.0287,6.28,2.415,0.0,0.091,-0.09,0.20939594,1.747,0.0,-0.88,0.84,0.0,88.11,0.508,0.512,3476.0,0.04383,0.05,0.0,9.528,0.0,4.8,51.0,-51.0,0.016,-0.016,0.0012,-0.0012,0.042,-0.042,0.86,0.0905,51.0,0.016,0.0012,0.042,1057.3911863258195,165.07002519931095,645.0281088097277,19.35435610682537,87.78362736670196,16.80191470158545
TOI-125 b,4.65382,0.05186,9.5,2.726,0.0,0.075,-0.075,0.087,2.9616,0.0,-0.88,0.88,0.194,88.92,0.848,0.859,5320.0,0.0295,-0.02,0.0,9.466,0.0,4.516,39.0,-39.0,0.011,-0.011,0.00086,-0.00077,0.021,-0.021,0.88,0.075,39.0,0.011,0.000815,0.021,1255.400261673202,135.25989524612092,948.8580954147799,11.909987862595186,45.33504561550422,5.791071164085369
TOI-1266 b,10.8945,0.073,4.46,2.52,0.0,0.08,-0.08,0.31683854,2.1288,0.0,-0.69,0.69,0.039,89.13,0.4232,0.437,3563.0,0.0545,-0.109,0.0,9.706,0.0,4.826,77.0,-77.0,0.0077,-0.0079,0.0011,-0.0011,0.023,-0.023,0.69,0.08,77.0,0.0078000000000000005,0.0011,0.023,689.6743745427391,115.33444246229168,378.38611098088614,9.335681317292563,109.36571020101765,20.48520538363374
TOI-1266 c,18.8027,0.105,3.17,1.98,0.0,0.1,-0.1,0.16867881,1.951,0.0,-0.76,0.76,0.071,89.17,0.4232,0.437,3563.0,0.0429,-0.109,0.0,9.706,0.0,4.826,77.0,-77.0,0.0077,-0.0079,0.0017,-0.0017,0.023,-0.023,0.76,0.1,77.0,0.0078000000000000005,0.0017,0.023,794.0341740927522,206.5740123991675,315.5018915614036,7.840039452668463,62.23253656964601,17.877563040680663
TOI-1438 b,5.13967,0.0553,9.4,3.04,0.0,0.19,-0.19,0.07695997,1.04,0.0,-1.8,1.8,0.0,86.21,0.82,0.876,5230.0,0.0341,0.03,0.0,9.584,0.0,4.5,60.0,-60.0,0.017,-0.017,0.0015,-0.0015,0.018,-0.018,1.8,0.19,60.0,0.017,0.0015,0.018,998.8286682664478,228.40915498312557,888.288448402286,18.26944741436267,61.210957991255945,16.655158083859337
