# File_Name, Equilibrium_Temperature, Uncertainty_on_Equilibrium_Temperature, A_H, A_H_error, Number_of_transits
EPIC 220674823 c,747.3158807433292,11.985641058305522,30.301648715758304,32.40764178910973,None
G 9-40 b,402.8970287490433,9.281289569677067,5.686183660288678,5.479366104180003,None
GJ 1214 b,518.4051724509364,7.993180029666558,18.055409920611485,2.028511647719195,None
GJ 3090 b,633.2974086440051,16.097027491855087,20.38687911766849,6.219666546597306,None
GJ 9827 d,618.0732934987349,23.76062587306541,15.018582690236276,6.806131600050006,None
HD 135694 b,741.4528208046867,26.587886204229957,9.510614058393658,7.173889036497113,None
HD 15337 b,913.7350635347924,15.449561413649674,-1.0455376671082481,16.920491578020915,None
HD 15337 c,595.469549996449,10.070012958650654,15.50651634031813,10.414584222279462,None
HD 191939 c,546.381818815485,14.324135141391542,-4.586049019701232,5.89670148258812,None
HD 191939 d,495.3015536189921,12.926390363198616,22.22784259994851,5.578552471860632,None
HD 23472 b,510.6824835341242,13.560362982521529,18.36008802241779,18.713534765166063,None
HD 23472 c,429.0808283350266,11.33816791365168,8.283699239424665,10.8009924943086,None
HD 235088 b,740.2020972302571,17.919537128864295,24.240582011249924,9.576442260408133,None
HD 28109 b,884.598005972789,19.37479195071543,19.678264654418424,19.521357271008828,None
HD 42813 b,693.1593415499656,11.264937871977386,11.991978433634054,5.182361860832288,None
HD 73583 c,455.17318855183214,16.491400398189125,0.8289847433935111,10.284603172338423,None
HIP 116454 b,688.809809355346,15.64584199548517,9.093611619393538,13.531029218112046,None
HIP 29442 d,890.1988681965536,14.421068458772368,50.950703049129814,39.11478252675857,None
HIP 8152 b,796.2541155303562,15.195985522102328,-0.5501543369074376,16.574742581855627,None
K2-138 d,904.0866069151292,14.073875722133884,55.262751121269865,32.15963526846256,None
K2-138 f,679.0198320832703,10.564120905919202,37.8294569405332,38.946693195869756,None
K2-138 g,456.549298629702,7.103548250771594,2.491363977442034,12.593776345626083,None
