# Planet_Name,Equilibrium_Temperature,Uncertainty_on_Equilibrium_Temperature,Feature_Depth,Feature_Depth_Error,B_H,B_H_Error,Number_of_Transits
GJ 1214 b,518.4051724509364,7.993180029666558,0.00038812408207459896,4.135976409772302e-05,0.7374924664496678,0.08903348201034501,1.0
GJ 3090 b,633.2974086440051,16.097027491855087,0.00012870938839483633,2.1369283269362426e-05,0.9388957304745419,0.28456768130693316,1.0
HD 191939 c,546.381818815485,14.324135141391542,4.5570118476964336e-05,8.080743317286775e-06,0.9005516190856122,0.20599335035601699,2.0
HD 42813 b,693.1593415499656,11.264937871977386,7.23350052918559e-05,8.039894594767497e-06,1.1842551395315526,0.17387750322825837,2.0
L 98-59 d,380.6579289272226,9.834606820421872,0.00015495600803580763,2.3740510511869848e-05,0.7648167419242146,0.1339671508662191,1.0
LHS 1140 b,206.2954597930245,3.964814102954924,0.00014175708603272798,1.2224030331424857e-05,1.9475635040844546,0.20214337534853355,4.0
TOI-1136 c,968.0736471778304,20.186859438498992,7.98109534570538e-05,1.3396903213092597e-05,1.1412959800465121,0.3071763417823359,1.0
TOI-1422 b,794.9064396922664,14.937299358257246,0.00012721267016474903,1.7364162353686174e-05,1.4343172512009905,0.3683263524998145,1.0
TOI-1438 b,888.288448402286,18.26944741436267,8.711670075777856e-05,1.7742122229184755e-05,1.2747152426324246,0.40273484629645323,4.0
TOI-1468 c,309.3002161642257,5.94341003273972,0.00014679725644647706,2.3713047733174162e-05,1.4690611778854907,0.48902107676431483,1.0
TOI-178 e,553.5253493881711,12.925550224020771,5.3446717288390755e-05,1.4417955050103608e-05,0.589901797976024,0.1695127716289864,2.0
TOI-270 c,448.0788038258526,10.229195450758844,0.0001145221265528391,1.623775087047833e-05,0.9240693013175081,0.1460780114364844,2.0
TOI-270 d,355.0128252545304,8.1068818515895,0.00010643589271853732,1.023607867708201e-05,1.1809030846784596,0.14993041778043714,4.0
TOI-4438 b,398.37200521627,19.29467562934845,0.00012188279359897324,2.594130609041197e-05,0.7192489112930237,0.24050526031628752,1.0
TOI-561 c,725.5623780453545,9.465545095374008,7.754075459878848e-05,1.4520607106709892e-05,0.9821691099821029,0.2177855235141963,1.0
TOI-969 b,986.93862588902,21.183860583574,8.420207794073483e-05,1.646976515831337e-05,1.0180189465693268,0.24599412412417954,3.0
