# Planet_Name,Equilibrium_Temperature,Uncertainty_on_Equilibrium_Temperature,Feature_Depth,Feature_Depth_Error,B_H,B_H_Error,Number_of_Transits
GJ 1214 b,518.4051724509364,7.993180029666558,0.00037038066378828303,4.135976409772302e-05,0.7037773791371826,0.08815075727627622,1.0
GJ 3090 b,633.2974086440051,16.097027491855087,0.00012706196455294374,2.1369283269362426e-05,0.9268782760314361,0.28202323818802716,1.0
HD 191939 c,546.381818815485,14.324135141391542,2.121366900496792e-05,1.142789679336271e-05,0.4192221703094143,0.23381952025960967,1.0
HD 42813 b,693.1593415499656,11.264937871977386,7.434013011322835e-05,5.685063987985168e-06,1.2170826670271502,0.14931838324788202,4.0
K2-18 b,258.59024707677503,13.542313735145688,7.700337802879617e-05,2.3192640350226048e-05,1.8489779835380287,0.8370632329595118,1.0
L 98-59 d,380.6579289272226,9.834606820421872,0.0002537505746187758,2.3740510511869848e-05,1.2524373220590623,0.15823565375556714,1.0
LHS 1140 b,206.2954597930245,3.964814102954924,0.00013453109559515355,1.2224030331424857e-05,1.8482875126618168,0.19900866118664493,4.0
TOI-1136 c,968.0736471778304,20.186859438498992,9.919780191397845e-05,1.3396903213092597e-05,1.4185277540230639,0.3546403057574726,1.0
TOI-1422 b,794.9064396922664,14.937299358257246,0.00012001347754222623,1.002520380915308e-05,1.3531466715737364,0.31528736163684745,3.0
TOI-1438 b,888.288448402286,18.26944741436267,8.209418066855044e-05,1.7742122229184755e-05,1.2012243636336006,0.38933221126544615,4.0
TOI-1468 c,309.3002161642257,5.94341003273972,0.00014605429249233727,2.3713047733174162e-05,1.4616260287007172,0.48713002491442997,1.0
TOI-178 e,553.5253493881711,12.925550224020771,7.161314473811916e-05,1.019503378677109e-05,0.7904081856288258,0.1370608554471216,4.0
TOI-270 c,448.0788038258526,10.229195450758844,0.00011269372069169564,1.1481823751732991e-05,0.9093160498936261,0.11235376505537213,4.0
TOI-270 d,355.0128252545304,8.1068818515895,0.00010102328653985174,2.047215735416402e-05,1.1208503790609845,0.2454041228684884,1.0
TOI-4438 b,398.37200521627,19.29467562934845,0.00020471994745296668,2.594130609041197e-05,1.2080835610806981,0.3471416861035994,1.0
TOI-561 c,725.5623780453545,9.465545095374008,0.00012639104140385355,1.4520607106709892e-05,1.600930727172386,0.26451391718800654,1.0
TOI-969 b,986.93862588902,21.183860583574,0.00012578405676194745,1.1645882627993316e-05,1.520752885102691,0.2576476638479816,6.0
