# File_Name,Equilibrium_Temperature,Uncertainty_on_Equilibrium_Temperature,Feature_Depth,Feature_Depth_Error,B_H,B_H_Error,Number_of_Transits
GJ 1214 b,518.4051724509364,7.993180029666558,0.0004082745809422684,4.200067492770621e-05,0.5474726785459443,0.06431739052320698,None
GJ 3090 b,633.2974086440051,16.097027491855087,0.00010941497489442447,2.1371292980146958e-05,0.5498727356820914,0.176000688304748,None
K2-138 d,904.0866069151292,14.073875722133884,-8.13061736032667e-06,3.6549222537468384e-05,-0.16219389834160458,0.729844912945633,None
K2-138 f,679.0198320832703,10.564120905919202,0.0005500394184485536,3.359065380504707e-05,0.670108811920668,0.6843957406208852,None
K2-18 b,258.59024707677503,13.542313735145688,7.273834137861692e-05,2.3553983116265008e-05,1.1548924718025786,0.5405774558971344,None
L 98-59 d,380.6579289272226,9.834606820421872,0.00024521089090805094,2.9202799720031102e-05,0.7957212045735923,0.11638277716107688,None
LHS 1140 b,206.2954597930245,3.964814102954924,0.00010984239261480587,2.4978344918279587e-05,1.0054015694798162,0.23589151690557467,None
TOI-1064 c,579.3909550668909,9.591301297596027,0.0001795411318979193,1.968862053136869e-05,0.5794294208298052,0.4456548576294848,None
TOI-1136 c,968.0736471778304,20.186859438498992,0.00010930635625046867,1.471430710278656e-05,0.9807538755807527,0.24496292923249424,None
TOI-1260 b,797.7959315744145,20.86990491134148,9.850574305022186e-05,2.5798478539472953e-05,1.4007846537165594,0.4532123854827783,None
TOI-1422 b,794.9064396922664,14.937299358257246,0.00011302845694728626,1.7726969452764437e-05,0.8279061607429181,0.22201188330366908,None
TOI-1468 c,309.3002161642257,5.94341003273972,0.00016196672068146106,2.424770852976694e-05,1.061010978408495,0.3472727564269421,None
TOI-1758 b,545.6554296510881,23.83363858332177,0.00012673192325481759,1.7211925304869572e-05,0.6952825373307631,0.6563308801398777,None
TOI-1799 b,911.8033990403044,35.409896800441935,1.4421395694228444e-05,1.5649878962746142e-05,0.5541762752264777,0.6678039478774628,None
TOI-270 d,355.0128252545304,8.1068818515895,0.00010684288372192225,2.0858710350158966e-05,0.7890033531197902,0.1673440330092583,None
TOI-4438 b,398.37200521627,19.29467562934845,0.00015997536475253517,2.643214097431935e-05,0.638376029690905,0.19552683862762907,None
TOI-521 b,726.3156808218597,32.165150010429485,0.0002284867152838473,5.807924618393959e-05,1.509053238194961,0.574362675366071,None
TOI-561 c,725.5623780453545,9.465545095374008,8.16162262011113e-05,1.48877761074269e-05,0.696070854456279,0.15150470597361465,None
TOI-969 b,986.93862588902,21.183860583574,9.233836758763716e-05,2.913777828051335e-05,0.7415403796298397,0.2565621172560663,None
