# Planet_Name,Equilibrium_Temperature,Uncertainty_on_Equilibrium_Temperature,Feature_Depth,Feature_Depth_Error,B_H,B_H_Error,Number_of_Transits
GJ 1214 b,518.4051724509364,7.993180029666558,0.0007228077175663854,4.136315559523701e-05,1.3734402759745048,0.11067474087779126,1.0
GJ 3090 b,633.2974086440051,16.097027491855087,0.00015296433442630263,2.1369504339024995e-05,1.1158281637324388,0.3230391235172198,1.0
HD 191939 c,546.381818815485,14.324135141391542,6.850828892236975e-05,8.080798422969997e-06,1.3538531952909425,0.2525264847436513,2.0
HD 42813 b,693.1593415499656,11.264937871977386,7.420049958773269e-05,8.039905946038623e-06,1.2147966622527462,0.1758060926476474,2.0
L 98-59 d,380.6579289272226,9.834606820421872,0.000307795655462234,2.3741171263552997e-05,1.5191877576934953,0.17426775791500476,1.0
LHS 1140 b,206.2954597930245,3.964814102954924,0.0001264121724343422,1.2224030331424857e-05,1.7367437522545834,0.19562727201198712,4.0
TOI-1136 c,968.0736471778304,20.186859438498992,8.011495957916043e-05,1.3396903213092597e-05,1.1456432651000172,0.3078918228132053,1.0
TOI-1422 b,794.9064396922664,14.937299358257246,0.00013003556600292218,1.7364157787500376e-05,1.4661452774014594,0.37420847646327515,1.0
TOI-1438 b,888.288448402286,18.26944741436267,0.00012535580764668603,1.7742122229184755e-05,1.8342402475045658,0.5135006139995422,4.0
TOI-1468 c,309.3002161642257,5.94341003273972,0.00016136329534285378,2.3713217084050095e-05,1.6148295851175358,0.526521382770233,1.0
TOI-178 e,553.5253493881711,12.925550224020771,0.0001117568729144436,1.4418132143473569e-05,1.2334823093565015,0.200594300046739,2.0
TOI-270 c,448.0788038258526,10.229195450758844,0.00020226724548594874,1.623812935951056e-05,1.632077205005271,0.17373066027024006,2.0
TOI-270 d,355.0128252545304,8.1068818515895,0.00013582233742221545,1.0236198343238431e-05,1.5069448203368905,0.16882076274883337,4.0
TOI-4438 b,398.37200521627,19.29467562934845,0.0002464876877794693,2.5941994646472883e-05,1.454561352325383,0.4051661680025275,1.0
TOI-561 c,725.5623780453545,9.465545095374008,0.00012046589682302789,1.4520612567314781e-05,1.5258799489129269,0.25818344373374685,1.0
TOI-969 b,986.93862588902,21.183860583574,0.00011893007029436229,1.646976515831337e-05,1.437886900626126,0.28508176742098507,3.0
