# Planet_Name,Equilibrium_Temperature,Uncertainty_on_Equilibrium_Temperature,Feature_Depth,Feature_Depth_Error,B_H,B_H_Error,Number_of_Transits
GJ 9827 d,618.0732934987349,23.76062587306541,9.350021107176949e-05,1.9840152905952094e-05,1.451180610810113,0.4758407375229475,1.0
HD 15337 c,595.469549996449,10.070012958650654,1.506851849759005e-05,1.5180040124277782e-05,0.5795287673228288,0.5946789018200445,1.0
HD 191939 c,546.381818815485,14.324135141391542,4.226786203491103e-05,1.142789679336271e-05,1.1893833274093955,0.3646141076161005,1.0
HD 23472 b,510.6824835341242,13.560362982521529,4.065881402238883e-05,1.5786870215780523e-05,3.053056913286947,1.2856277600112724,1.0
HD 42813 b,693.1593415499656,11.264937871977386,5.9621341525744036e-05,1.1370127975970336e-05,1.446439177189199,0.3087805746393146,1.0
HIP 116454 b,688.809809355346,15.64584199548517,3.468790202146559e-05,1.6608919055369146e-05,1.5014608205839473,0.7600461436279415,1.0
K2-146 b,544.625244078108,14.133711602085835,9.830728938677209e-05,9.856997446594549e-05,0.9656702107978377,0.9728638346915485,1.0
K2-32 c,579.475524728098,8.209378246628223,9.861527337606574e-05,2.439639194412126e-05,2.3961850465866843,0.9518616187327349,1.0
Kepler-11 d,654.7318701859027,9.450692088742953,0.00015780720764187824,6.030839795518496e-05,4.892798360591096,2.0443857167119734,1.0
Kepler-177 b,633.2958185996449,14.35214003026916,4.830394121606567e-05,0.00011012812650676067,1.2574565169668233,2.8776555267232307,1.0
Kepler-28 b,678.1024947998193,13.270195044325083,0.00018125935248105554,0.00013333074851272982,1.744380495231199,1.3771408012191046,1.0
Kepler-28 c,589.7350143260494,11.54344553827141,1.1084693016992497e-05,0.00012172771767714018,0.1873983635796615,2.0587209482226494,1.0
Kepler-29 b,696.8433652009023,17.549699581716084,-0.00010162281645320257,0.00019652363206639777,-1.7972938460221204,3.520834106774138,1.0
Kepler-29 c,640.9125797956983,16.1376206757808,-0.00042130253099211554,0.0001838525151255659,-9.234158847762862,4.8030457938602735,1.0
Kepler-305 d,574.5888941913845,14.792532663502373,8.013321709822235e-05,0.00023614236352549714,1.8599446519177816,5.505139863640819,1.0
Kepler-307 b,698.1311867235428,16.154020171648607,7.781502115658209e-05,9.70854381622402e-05,3.0585734554419095,3.8467523167839595,1.0
Kepler-307 c,647.0207600274839,14.96988662444292,7.890991596015543e-05,9.45034292722607e-05,2.0496510775069523,2.4866704129977766,1.0
Kepler-49 b,583.2154383713925,18.079286739701477,-6.378763142363933e-05,0.00011881385549472541,-1.7878399993923395,3.3397623408415598,1.0
Kepler-49 c,507.79520306792375,15.752586357015314,4.119238515566041e-05,0.00013016838683589345,1.2813918666789252,4.053774054791123,1.0
Kepler-57 c,671.623018395416,14.45395030426373,-1.4502824953826609e-05,0.0001479932995993835,-0.7555991190892493,7.712444780187547,1.0
Kepler-79 e,500.1340579164112,10.100392938267449,3.8363416351181964e-05,0.00010089573638930879,0.784696731918035,2.0769541795083493,1.0
Kepler-80 b,647.72574901053,18.56032832235148,9.379535659006502e-05,0.0001072864770797424,1.8433501292447443,2.1312350769698254,1.0
Kepler-80 c,585.8899845054118,16.788448644830826,-1.9732611768147595e-05,0.00010728103228193597,-0.37069629913165786,2.016657277792751,1.0
Ross 176 b,624.1571621828871,16.98956531144949,6.34492300749163e-05,2.396448111903209e-05,1.8512163110404092,0.822571671528015,1.0
TOI-1136 e,669.2023216780261,14.537056255629471,4.5352093010311715e-05,1.184606118601922e-05,1.5985604420603026,0.5271576411162987,1.0
TOI-1201 b,645.0281088097277,19.35435610682537,0.00010734832610415058,2.6180955736799987e-05,1.4657292481710924,0.44002275367044075,1.0
TOI-1203 d,680.1264115355455,10.352471217551152,4.633595852296076e-05,8.778350048339097e-06,2.158665147448756,0.4565238840072301,1.0
TOI-1470 b,663.6342468665418,5.483351370582019,0.0001083329721563585,3.943000116504073e-05,2.007070940149205,0.8088165169733289,1.0
TOI-1695 b,637.6826905626073,12.930529007500052,3.197364353900575e-05,3.148698481793019e-05,0.9655515601118676,0.9796806546481704,1.0
TOI-1742 b,695.0701310144931,12.52020364522045,1.0766721108991365e-06,9.647852722643974e-06,0.11794811607002709,1.0571891442091146,1.0
TOI-178 d,636.586673019081,14.945760816752662,0.00010536692669128791,2.1046273804074785e-05,1.4145407756372634,0.3127397960545627,1.0
TOI-178 e,553.5253493881711,12.925550224020771,9.363029275099959e-05,2.039006757354218e-05,1.482646832160718,0.3546810257242036,1.0
TOI-269 b,526.4313090784765,17.433350278302346,0.0001418957342162767,6.427407608085645e-05,1.273605569430434,0.6298949620570601,1.0
TOI-431 d,584.2454707109282,13.944933480286126,6.199284963442605e-05,1.0964667925934293e-05,1.1525707665251819,0.28809951672733114,1.0
TOI-663 b,676.3908982915506,20.55836676524316,0.00010475312140569774,3.907735258476054e-05,1.1807164948888493,0.4915008936640152,1.0
TOI-663 c,555.7353776363408,16.776763243558232,5.226701614983488e-05,3.435114290782295e-05,0.5508546787584294,0.3959654043172888,1.0
TOI-815 b,627.1179431244443,12.371550522546912,4.8942760736001706e-05,1.3537303873776511e-05,1.031855059159739,0.35035544860458484,1.0
TOI-836 c,597.8474887989981,21.67859454285577,5.0593300086846467e-05,1.4291311596947654e-05,1.5707748803117985,0.6305587714787988,1.0
TOI-912 b,503.6565640230983,22.797853184373555,4.7511532723932106e-05,2.2573914494513653e-05,0.8439309364400698,0.4449302862358824,1.0
