# Planet_Name,Equilibrium_Temperature,Uncertainty_on_Equilibrium_Temperature,Feature_Depth,Feature_Depth_Error,B_H,B_H_Error,Number_of_Transits
GJ 1214 b,518.4051724509364,7.993180029666558,0.0008082984916172996,4.136333910931645e-05,1.535885238102317,0.11734619170326623,1.0
GJ 3090 b,633.2974086440051,16.097027491855087,0.00021973450626713788,2.1369598751721446e-05,1.6028962016295623,0.43531235035346777,1.0
HD 191939 c,546.381818815485,14.324135141391542,7.31074031441629e-05,8.080805565337586e-06,1.444740379639369,0.2628310985547141,2.0
HD 42813 b,693.1593415499656,11.264937871977386,8.238205304693705e-05,8.039920946337386e-06,1.3487435209599759,0.18457553791226594,2.0
L 98-59 d,380.6579289272226,9.834606820421872,0.00033902643454942994,2.3741168904762754e-05,1.6733335892233352,0.18416562349141433,1.0
LHS 1140 b,206.2954597930245,3.964814102954924,0.0001444736839134467,1.2224030331424857e-05,1.984886131374772,0.20335119998639237,4.0
TOI-1136 c,968.0736471778304,20.186859438498992,9.517380852542016e-05,1.3396903213092597e-05,1.3609846815603779,0.3445143259518403,1.0
TOI-1422 b,794.9064396922664,14.937299358257246,0.0001110803411307178,1.7364160270568696e-05,1.2524259521220924,0.3354741314949189,1.0
TOI-1438 b,888.288448402286,18.26944741436267,6.76172725216364e-05,1.7742122229184755e-05,0.9893943089995231,0.35285518356159207,4.0
TOI-1468 c,309.3002161642257,5.94341003273972,0.0001442274007252423,2.3713217084050095e-05,1.4433435632364093,0.48249066399312435,1.0
TOI-178 e,553.5253493881711,12.925550224020771,0.00013755936725006542,1.4418157349231238e-05,1.518269450140462,0.21890595590279915,2.0
TOI-270 c,448.0788038258526,10.229195450758844,0.00021260924074950442,1.623811777969761e-05,1.715525885405154,0.17761551016077465,2.0
TOI-270 d,355.0128252545304,8.1068818515895,0.0001620564387407467,1.0236198343238431e-05,1.7980113992845126,0.18737574112063343,4.0
TOI-4438 b,398.37200521627,19.29467562934845,0.0003158368431404922,2.5941987549488536e-05,1.863801270608046,0.504464121994182,1.0
TOI-561 c,725.5623780453545,9.465545095374008,0.00012495979136068944,1.4520634273685996e-05,1.5828018143402909,0.26297128084283755,1.0
TOI-969 b,986.93862588902,21.183860583574,0.0001034729101618741,1.646976515831337e-05,1.2510069297291546,0.26675013067155445,3.0
