Wavelength_um,Model_Depth,Transit_Depth,Error,Num_Transits
0.8309,0.00107000000000003,0.0012284720081058508,9.94530840995556e-05,4.0
0.8318,0.0010705694578340295,0.001075548455499527,9.169688981147365e-05,4.0
0.8328,0.0010710000000000279,0.0011277145021403165,9.070432663554936e-05,4.0
0.8338,0.0010710000000000352,0.0009751983236575895,8.91802194409359e-05,4.0
0.8348,0.0010710000000002707,0.0008985273223986439,8.735981397538146e-05,4.0
0.8357,0.001075959109382384,0.0010298800316625345,8.577829286991557e-05,4.0
0.8367,0.001071850771958176,0.0011101046298589966,8.483255471042544e-05,4.0
0.8377,0.0010709999999997718,0.0011074477327982979,8.439791088939779e-05,4.0
0.8386,0.001072872299846174,0.0011378078067809773,8.415530195908296e-05,4.0
0.8396,0.0010742936678301736,0.0010773888556045933,8.356089481158779e-05,4.0
0.8406,0.0010710000000001157,0.0010659793954765743,8.252464289538936e-05,4.0
0.8415,0.0010845303574217183,0.0010927901239553611,8.178460396758255e-05,4.0
0.8425,0.001076431887855572,0.0010624134471934148,8.136821032431735e-05,4.0
0.8435,0.0010718918201819063,0.0011513299158749614,8.095057980840372e-05,4.0
0.8445,0.0010719692423176365,0.0010820140456323868,8.052364226765161e-05,4.0
0.8454,0.0010710000000000888,0.001153009762821548,8.0614695220004e-05,4.0
0.8464,0.0010710000000000647,0.001153744450920441,8.138047890400015e-05,4.0
0.8474,0.0010710000000000257,0.0012370611723008008,8.17577643301999e-05,4.0
0.8483,0.0010710000000000949,0.0011004538937129254,8.173401423789548e-05,4.0
0.8493,0.0010710000000000882,0.0010140570096419525,8.300744501645235e-05,4.0
0.8503,0.0010710000000000925,0.0010418998612071746,8.357768808996649e-05,4.0
0.8512,0.0010710000000001166,0.0011331016955717502,8.147195112437378e-05,4.0
0.8522,0.0010717995121590751,0.0010858262073975028,7.914780043376593e-05,4.0
0.8532,0.001071999999999999,0.0010459004631138986,7.839444733430318e-05,4.0
0.8542,0.0010728473678102274,0.0012473737775620724,7.843932403199483e-05,4.0
0.8551,0.0010711013394792768,0.000949080103707143,7.794574181170977e-05,4.0
0.8561,0.0010717596551333773,0.001209550390860608,7.684986412949697e-05,4.0
0.8571,0.0010710000000000905,0.0011487751991243517,7.594154838105881e-05,4.0
0.858,0.0010710000000000012,0.001023496991689691,7.53872511744845e-05,4.0
0.859,0.0010709999999999784,0.0008941687547659204,7.495948065447996e-05,4.0
0.86,0.0010710000000000181,0.0011541904075275887,7.459945446053161e-05,4.0
0.861,0.001071000000000016,0.0009126761045847554,7.438923711817188e-05,4.0
0.8619,0.001071000000000078,0.0012174730795683588,7.424681897342951e-05,4.0
0.8629,0.001071,0.0011831152370989652,7.413632150335085e-05,4.0
0.8639,0.0010710000000000522,0.0010447818017122771,7.431877968305736e-05,4.0
0.8648,0.001070999999999881,0.001038016522444214,7.541284540506646e-05,4.0
0.8658,0.0010709999999999687,0.0010724172677247948,7.741760787285117e-05,4.0
0.8668,0.0010714248407794084,0.0009997549087076736,7.799008713734847e-05,4.0
0.8677,0.0010719999999999963,0.0010961579369651176,7.67532465740011e-05,4.0
0.8687,0.001071999999999915,0.0010496182183296762,7.607916017199992e-05,4.0
0.8697,0.0010720000000000634,0.001082033431988681,7.476679278825904e-05,4.0
0.8707,0.0010719999999999532,0.0011243671735820168,7.286181087523613e-05,4.0
0.8716,0.0010719999999999849,0.0010759183357757377,7.181865797455652e-05,4.0
0.8726,0.001071999999999983,0.0010175100999475874,7.151416540381862e-05,4.0
0.8736,0.0010720000000000003,0.0010399590427876875,7.154459095379404e-05,4.0
0.8745,0.0010721924563041147,0.0011309787425155971,7.141322791163461e-05,4.0
0.8755,0.0010726685383085836,0.0010440152613832893,7.088632343329492e-05,4.0
0.8765,0.001071529600808183,0.000952199378173072,7.043024191039872e-05,4.0
0.8774,0.001071494858955574,0.0010482833737115215,7.032856990200103e-05,4.0
0.8784,0.0010719999999999985,0.0010656141417997784,7.053022829572827e-05,4.0
0.8794,0.001072000000000019,0.0009993426066520817,7.077462014824786e-05,4.0
0.8803,0.0010720000000000026,0.0011057514894471543,7.04107454532704e-05,4.0
0.8813,0.0010729361873967388,0.001131190505888252,6.969590350562038e-05,4.0
0.8823,0.001072999999999961,0.0009903588910313535,6.91577844076398e-05,4.0
0.8833,0.0010729999999999366,0.0010174873668556761,6.877636824513936e-05,4.0
0.8842,0.0010729999999999347,0.0010078127955226997,6.836720413338652e-05,4.0
0.8852,0.0010733770201036513,0.0010193234481605097,6.790117820608795e-05,4.0
0.8862,0.001074515957604255,0.0008925614462076803,6.751098546068581e-05,4.0
0.8871,0.0010771614621524045,0.0010593036280546948,6.722251101585756e-05,4.0
0.8881,0.0010817153896947628,0.0009542772635381353,6.701445687505262e-05,4.0
0.8891,0.001090360064317465,0.0009820224279204562,6.682288688365532e-05,4.0
0.89,0.0010919999999999572,0.0010540726710265072,6.666741593404098e-05,4.0
0.891,0.0011057444413256786,0.0009830552921731006,6.654377197676753e-05,4.0
