# File_Name, Equilibrium_Temperature, Uncertainty_on_Equilibrium_Temperature, A_H, A_H_error, Number_of_transits
GJ 1214 b,518.4051724509364,7.993180029666558,15.340219230124246,2.080802235478798,None
GJ 3090 b,633.2974086440051,16.097027491855087,15.364133283234803,5.390714445051819,None
GJ 9827 d,618.0732934987349,23.76062587306541,2.3189847543861655,6.145353596516266,None
HD 191939 c,546.381818815485,14.324135141391542,25.45362408949777,7.305427718358385,None
HD 191939 d,495.3015536189921,12.926390363198616,19.652798586784932,5.152668516675792,None
HD 235088 b,740.2020972302571,17.919537128864295,10.353742345911744,8.756006982084546,None
HD 42813 b,693.1593415499656,11.264937871977386,21.15372262666366,5.821423070466601,None
K2-138 f,679.0198320832703,10.564120905919202,40.82177133967025,41.85513892532534,None
L 168-9 b,913.1710345691096,31.837357755946137,8.732863590828023,9.749710842120558,None
L 98-59 d,380.6579289272226,9.834606820421872,18.265401913733786,3.2654398146535204,None
LHS 1140 b,206.2954597930245,3.964814102954924,27.110321207363686,7.538669590761551,None
LTT 3780 c,331.84288879236016,11.210527637806443,22.120627238975498,8.237173260455647,None
TOI-1064 c,579.3909550668909,9.591301297596027,16.427731875186197,13.096473401501994,None
TOI-1136 c,968.0736471778304,20.186859438498992,18.62273753771881,6.91446283779138,None
TOI-1136 f,600.2702678051772,12.788660633447408,17.66738095199504,8.864000014726608,None
TOI-1201 b,645.0281088097277,19.35435610682537,2.5934598078312234,6.258114509578627,None
TOI-125 b,948.85809541478,11.909987862595186,15.588323141951046,13.106124991376364,None
TOI-1266 b,378.3861109808861,9.335681317292565,18.40034291879108,5.578163786713127,None
TOI-1266 c,315.5018915614036,7.840039452668463,11.407650283174094,8.907912918676628,None
TOI-1438 b,888.288448402286,18.26944741436267,2.62402355101727,13.88681088352671,None
TOI-1468 c,309.3002161642257,5.94341003273972,22.36279699458693,8.782964944815815,None
TOI-1634 b,826.4749531597515,22.528904600862443,3.605207095152801,14.846290589510192,None
TOI-1758 b,545.6554296510881,23.83363858332177,13.397298363721253,13.541692568919844,None
TOI-178 d,636.586673019081,14.945760816752662,17.53613530331444,6.254780088667675,None
TOI-178 g,433.7737863703845,10.154787448740388,13.580078065805749,6.168516854152823,None
TOI-1794 b,995.055969408052,20.07997949529483,17.026548681616127,14.310416926210442,None
TOI-2015 b,485.8510214454358,4.28848974299215,12.165081600707927,4.9118129170462055,None
TOI-2136 b,360.0115558965495,24.231942168684803,22.80687090481198,13.321050262871484,None
TOI-2443 b,473.0489169237217,10.42344632392082,9.325257608620337,5.1275241024596445,None
TOI-270 c,448.0788038258526,10.229195450758844,8.910317893868255,4.773138428349954,None
TOI-270 d,355.0128252545304,8.1068818515895,11.860826110299321,5.796126752742716,None
TOI-421 b,922.6772025132932,14.287194685748435,26.136209891068482,12.501868869681314,None
TOI-431 d,584.2454707109282,13.944933480286126,11.656777040708711,4.556371526222225,None
TOI-4438 b,398.37200521627,19.29467562934845,20.258064215281326,6.579229671220089,None
TOI-544 b,967.5927919273252,19.21664400692021,10.275878969983815,5.096473596811901,None
TOI-561 c,725.5623780453545,9.465545095374008,12.73834891625264,6.33992755401815,None
TOI-756 b,854.3628619508708,21.597961063660392,20.111061590049164,12.618265670301266,None
TOI-776 c,384.07042548343503,9.662281284136183,21.78879854505795,14.809973560302542,None
TOI-815 b,627.1179431244443,12.371550522546912,20.005214575353847,7.365521501167077,None
TOI-969 b,986.93862588902,21.183860583574,-9.556455516305183,9.185579064984559,None
