Wavelength_um,Model_Depth,Transit_Depth,Error_ppm
2.8705440656200856,0.001025153798083816,0.0010626029907341527,0.00015050620636645988
2.871219918514831,0.0010259188729773864,0.0008655634714011211,0.00014949058496647528
2.871895763808353,0.0010256884187967211,0.0007408939959896378,0.00014911808862227809
2.8725715630920616,0.0010254579803049917,0.0010587577755237798,0.00014874929789042963
2.87324736237577,0.0010252275418133191,0.000955251274130835,0.0001483832305832184
2.8739231616594787,0.001024997103321345,0.0011158720130315985,0.0001480198449301139
2.874598972880794,0.0010247666607591105,0.0010242174750965945,0.00014765911491987217
2.87527481269201,0.0010245362084477627,0.0011022724950657888,0.0001473009937517351
2.875950652503226,0.0010243057561367599,0.0008904809392504798,0.00014694546279468647
2.876626492314442,0.0010240753038255712,0.0008459398456262622,0.0001465924943927879
2.8773023092070065,0.0010238448593294126,0.0009456498818527947,0.00014624207064316592
2.8779780977695286,0.001023614424493187,0.0012547625468268357,0.00014589415934313532
2.8786538863320503,0.0010233839896572393,0.0008362379567590524,0.00014554871978975477
2.879329674894572,0.0010231535548209287,0.001221237922819679,0.0001452059480013896
2.880005450594114,0.0010233844218384468,0.001061869296044282,0.00014489935789459808
2.880681217715283,0.00102453669043182,0.0008477671490514445,0.00014466113412997764
2.881356984836452,0.0010256889590253271,0.0014524553669256674,0.00014442452589440077
2.8820327519576208,0.001026841227618813,0.0009141622988040798,0.00014418907008339912
2.882708502945143,0.0010279934687027455,0.001021919948991017,0.0001439547659459673
2.8833842486263195,0.001029145700738289,0.0009475123567360199,0.00014372160026321774
2.884059994307496,0.0010302979327740265,0.0011419581406620898,0.0001434895640767448
2.884735739988672,0.001031450164809494,0.0011112654936402686,0.0001432586512201165
2.885411437168953,0.0010326023141450375,0.0010246059951651717,0.00014302885838003539
2.8860871292561,0.0010337544547961272,0.001166055141488019,0.0001428001720338909
2.886762821343247,0.0010349065954471102,0.0011136837181007434,0.0001425725748311875
2.887438515745513,0.001036058740045806,0.0010029608717707023,0.00014234606461633928
2.8881142483571396,0.0010372109497961146,0.0009696832726223366,0.00014212053851799585
2.8887899809687663,0.001037370595000208,0.0011520451969529166,0.0001418845268214274
2.8894657135803925,0.0010353736584348548,0.0010279482732493365,0.00014162501616949314
2.8901414354738035,0.0010333767535440615,0.0008045708701094388,0.00014136676590114231
2.8908171168431647,0.0010313799684106876,0.0008726931746462768,0.00014110993729519566
2.891492798212526,0.0010293831832773716,0.001277198456528527,0.00014085450679291443
2.892168479581887,0.0010273863981439355,0.0010286433126996993,0.00014060045895167455
2.89284415320765,0.0010253896358946755,0.001006207554963323,0.00014034778398063137
2.8935198131424595,0.00102339291410496,0.0009916983656493492,0.0001400964736363943
2.894195473077269,0.0010213961923153617,0.001049818067670276,0.00013984650955810383
2.8948711330120784,0.0010193994705258295,0.0012194576653529366,0.00013959788006486046
2.8955467819464173,0.0010174027812449797,0.0008317080268308363,0.00013935057905801535
2.8962224204480354,0.0010154061227950245,0.0009040436707668206,0.00013910459186568355
2.896898058949653,0.0010134094643452544,0.001140625205147579,0.00013886005191294728
2.897573697451271,0.001011932239132217,0.0012222239995805567,0.0001386393922331146
2.8982493003188003,0.0010117018414282119,0.0010218813421462984,0.000138473097334229
2.8989248852433875,0.0010114714498431166,0.0009575373587698449,0.0001383077598560081
2.899600470167975,0.00101124105825806,0.0010361451606945577,0.00013814295353982954
2.9002760550925624,0.0010110106666729212,0.0010841480608064448,0.0001379699041756131
2.900951673109009,0.001010780263802795,0.0009942280207382167,0.00013778484078292167
2.901627298555048,0.0010105498583989165,0.0009340226514273462,0.00013760043452243578
2.9023029240010874,0.001010319452995021,0.00097853940524476,0.00013741676283154464
2.9029785494471265,0.0010100890475912372,0.0009858003249140174,0.00013723382853488478
2.9036541252928463,0.0010098586591021175,0.0011735411718408562,0.00013705163250640368
2.904329699503047,0.001009628271170961,0.0011375911704284646,0.000136870164203009
2.905005273713248,0.001009397883239903,0.0009123805466256059,0.00013668941079609411
2.905680845361378,0.0010091674961824702,0.0009373379913364268,0.0001365093689314873
2.906356398143825,0.001009230550077456,0.0009543768178077964,0.00013632895925518823
2.9070319509262723,0.0010100751830175747,0.001222549291203239,0.00013614643199042384
2.90770750370872,0.0010109198159576156,0.0009643328449935023,0.00013596461925412248
2.9083830506860058,0.0010117644416397318,0.0009467169653313572,0.00013578353161893014
2.909058582042059,0.0010126090477907026,0.0012614916259693087,0.00013560316862568794
2.909734113398112,0.00101345365394171,0.0009283802467996207,0.0001354235239566449
2.910409644754165,0.0010142982600928091,0.0008894406833010733,0.00013524458791861233
2.9110851670649933,0.001015142854934579,0.000749573642576715,0.00013506636172573027
2.9117606769960114,0.0010159874342984122,0.0009388010616609389,0.00013488884507669542
2.9124361869270294,0.0010168320136619688,0.0008312749370312785,0.00013471202115488475
2.9131116968580475,0.0010176765930256337,0.001146881842264324,0.00013453589312763882
2.91378718222532,0.0010185211416776458,0.0010492177628072996,0.00013436045759080225
2.9144626493103445,0.0010193656674715157,0.0007926094763930704,0.00013418594305597607
2.915138116395369,0.0010202293017440172,0.0010269273535417278,0.00013404741757009267
2.9158135834803938,0.0010211506026102303,0.001000844412482876,0.00013401384824790195
2.916489079907918,0.0010220719434980985,0.0009935897320731723,0.00013398100188810992
2.917164587511064,0.0010229932996286863,0.0012822298980753309,0.00013394817849349998
2.91784009511421,0.0010239146557593872,0.0009466812619303315,0.0001339153757921646
2.9185156027173558,0.001024836011890083,0.0008359055530832306,0.00013388260036453938
2.9191910654984543,0.001025757306885814,0.0009797707379453446,0.00013384985025305678
2.91986652187283,0.0010266785931431956,0.0013205203913775692,0.0001338171229237203
2.9205419782472055,0.0010275998794006332,0.0010736987784071602,0.00013378442165256797
2.9212174340698627,0.0010285211649054438,0.0011098670727463255,0.00013375174297631997
2.921892869023959,0.0010294424219467401,0.000997192190721069,0.00013371908931697764
2.9225683039780557,0.0010303636789880928,0.0008785458874863434,0.00013368645866099546
2.9232437389321517,0.001031284936029257,0.0010264582229747954,0.00013365366170281097
2.9239191701068235,0.0010321890270745442,0.0012036006718391086,0.0001335915558158313
2.924594583641999,0.0010330335819100712,0.0009624696977819748,0.00013343021496200965
2.9252699971771747,0.0010338781367453995,0.0010017520077912688,0.00013326880015618756
2.9259454107123504,0.0010347226915808146,0.0010696817252420028,0.00013310796474725616
2.9266208067380903,0.0010355672245220084,0.0010457688232112044,0.00013294771599882093
2.927296166731907,0.0010364117124078136,0.0012821074926157036,0.00013278805361232563
2.927971526725724,0.001037256200293685,0.0012360990003552634,0.0001326289619719023
2.9286468867195405,0.001038100688179603,0.0008314583851275189,0.00013247044355800655
2.9293222660510057,0.0010389452002456374,0.0007913011662463412,0.0001323124860405685
2.9299976665599154,0.0010397897387927327,0.0008289131597816681,0.00013215508636089916
2.9306730670688252,0.001040634277339602,0.0011493464741440624,0.00013199824556622938
2.931348467577735,0.0010414788158866794,0.000975051216223889,0.00013184196292409642
2.932023835947624,0.0010423233142463186,0.0008994675203585368,0.0001316862938243043
2.932699185234188,0.001042618705290359,0.001123152371156772,0.0001315398333871436
2.9333745345207514,0.0010406996632167163,0.001201939615024385,0.00013142781095795903
2.934049883807315,0.0010387806211431035,0.0009104860678966611,0.00013131629671657362
2.9347252164417026,0.0010368616263874578,0.0011423213050877465,0.00013120506758848013
2.9354005443147786,0.0010349426451613816,0.0010619357464885658,0.00013109412496359105
2.936075872187854,0.001033023663935376,0.0011378042739394064,0.00013098346109855776
2.93675120006093,0.001031104682709304,0.0008179493011331544,0.00013087308028069666
2.9374265080692368,0.0010291857579300607,0.0012500108281794792,0.0001307629806491852
2.9381018145301825,0.0010272668375476352,0.0011897458591852285,0.00013065315815365198
2.938777120991128,0.0010253479171654512,0.000975478645003467,0.00013054361345741985
2.93945242329335,0.0010234290086004532,0.000979435408288935,0.00013043434860195656
2.9401276762299107,0.0010215102403104306,0.0009326183294746093,0.00013032536164714003
