Wavelength_um,Model_Depth,Transit_Depth,Error,Num_Transits
0.8309,0.0006405444344494204,-0.0005462561465989592,0.000845494581964075,1.0
0.8318,0.0006409999999997376,0.001301244987303937,0.000752341105574465,1.0
0.8328,0.0006410000000000778,0.0008253182972559872,0.0007361061470810723,1.0
0.8338,0.0006409999999999702,0.0006331101651541208,0.0007319013078360961,1.0
0.8348,0.000641985199270061,0.0017086003224467217,0.0007293475884629188,1.0
0.8357,0.0006469591093823005,0.000794860097588887,0.0007137138303675175,1.0
0.8367,0.0006428507719583,-0.0003564377694446738,0.0006973238416629839,1.0
0.8377,0.0006417121622912563,0.0001503723442677461,0.0006879588567142683,1.0
0.8386,0.000643496399794825,0.000422745177173215,0.0006820434842393952,1.0
0.8396,0.0006453915571068938,-0.0002515137921543875,0.0006773622024406406,1.0
0.8406,0.0006410000000000707,0.001468232660768495,0.0006729326848873658,1.0
0.8415,0.0006533003249288595,0.00011184369931786916,0.0006688854901985748,1.0
0.8425,0.0006459380798687151,0.0006433390945849276,0.0006648302539717456,1.0
0.8435,0.0006427836403640093,0.00026997776330550216,0.0006609690090728722,1.0
0.8445,0.0006420000000000216,6.448928644306354e-05,0.0006575602387828961,1.0
0.8454,0.0006419442189331884,0.00012073778752373263,0.0006564377821417593,1.0
0.8464,0.0006409999999999465,0.0006953634166037778,0.0006575545611182842,1.0
0.8474,0.0006413333442914765,0.0005525820684041123,0.0006564249761449673,1.0
0.8483,0.0006419999999999857,0.0003908248117301353,0.0006528736284881483,1.0
0.8493,0.0006420000000001073,0.0010344026959025153,0.0006535982944669633,1.0
0.8503,0.0006420000000000105,0.0009119702418260631,0.0006529324519793523,1.0
0.8512,0.0006419999999999939,0.00012628074413880655,0.000644798522253176,1.0
0.8522,0.0006427995121592249,-0.00012251930734374786,0.0006362485033684063,1.0
0.8532,0.0006430000000000058,0.0007007285988404104,0.000634879774010511,1.0
0.8542,0.0006438473678101946,1.469097024828117e-05,0.0006370736893093582,1.0
0.8551,0.000642000000000032,0.00019298467235097095,0.0006346229052781017,1.0
0.8561,0.0006420000000000087,0.0007654361674602515,0.0006265896814856833,1.0
0.8571,0.0006420000000000705,0.0021129478515886663,0.0006186421789426843,1.0
0.858,0.0006420000000000786,0.00012345534041543083,0.0006138710087711149,1.0
0.859,0.0006420000000000102,0.0008432903092456511,0.0006121737731013434,1.0
0.86,0.0006420000000000403,0.00031635950078490866,0.0006111322120056808,1.0
0.861,0.0006419999999999809,-9.565112157695237e-05,0.0006079810896988528,1.0
0.8619,0.0006420000000000138,0.002035544815739509,0.000603726454484398,1.0
0.8629,0.0006420000000000619,0.0007215378698930231,0.0006009954075491612,1.0
0.8639,0.0006419999999999721,0.0008228272123043138,0.0006026197592983241,1.0
0.8648,0.000641999999999992,0.000289263573915807,0.0006155017824902764,1.0
0.8658,0.0006420000000000967,-0.00017383903212220058,0.0006419707799071357,1.0
0.8668,0.000642000000000023,6.210962602344345e-05,0.0006529361166037499,1.0
0.8677,0.0006420000000000827,0.0007414625439141424,0.0006358162618157749,1.0
0.8687,0.0006420000000000101,0.00022501930624935473,0.0006206655077595535,1.0
0.8697,0.0006427266680992762,-0.0003039840809405485,0.0006047869924515183,1.0
0.8707,0.0006429999999999228,0.0009090597175964127,0.0005885452594423336,1.0
0.8716,0.0006429999999998868,0.001193683830895297,0.0005805035737101429,1.0
0.8726,0.0006429999999999038,0.00020543295465120083,0.0005787990584702981,1.0
0.8736,0.0006428325670801682,0.0004610097360476886,0.0005816230339086668,1.0
0.8745,0.000642384912608108,0.0004824942082008293,0.0005853799876691581,1.0
0.8755,0.0006433370766172498,-0.00011857019328207635,0.0005839370578383529,1.0
0.8765,0.0006420000000000858,0.0006311378596711936,0.0005790350117862266,1.0
0.8774,0.0006420000000000163,0.0007167096688221471,0.0005786984958774863,1.0
0.8784,0.0006426332890112189,-3.287084768980686e-05,0.0005831112541909374,1.0
0.8794,0.0006429999999999312,0.0005363958311388557,0.000585225045396527,1.0
0.8803,0.0006422027501040277,0.0008659500775619977,0.0005757160387377639,1.0
0.8813,0.0006429361873965791,0.000318709569354239,0.000563177835924172,1.0
0.8823,0.00064307510724031,0.001456809600101184,0.0005568369237431727,1.0
0.8833,0.0006440000000000357,2.4695402716412877e-05,0.0005546364022571479,1.0
0.8842,0.0006437619852834698,-0.00014188902880438409,0.0005545487306130967,1.0
0.8852,0.0006433770201039621,0.0009586330123386058,0.0005569083801914933,1.0
0.8862,0.0006450319152085227,0.0003775211923557082,0.0005598491855614874,1.0
0.8871,0.0006481614621526117,0.00044603683959398117,0.0005570986773020011,1.0
0.8881,0.0006533942371186389,0.0006287897580205375,0.0005496189105347141,1.0
0.8891,0.0006623600643174963,0.00025093276387648403,0.0005436696914151141,1.0
0.89,0.0006639999999998666,0.0009319745988111642,0.0005404790791160365,1.0
0.891,0.0006767626955167946,0.00035857558899731953,0.0005381870412133793,1.0
0.892,0.0006838793861771613,0.0025773657904655718,0.0005365910846795833,1.0
0.893,0.0006837756492335942,0.0009934982020436342,0.0005353553856431654,1.0
0.8939,0.0006772092330039114,0.0006425323337086673,0.0005332164418571787,1.0
0.8949,0.0006528871074189949,0.0009207203510007318,0.000530886653020029,1.0
0.8959,0.0006528075800832807,0.0005621345743330305,0.0005292415949612512,1.0
0.8968,0.0006520673029948759,0.00042401747644623896,0.0005282607488132537,1.0
0.8978,0.0006565224743085403,0.0010588892888145724,0.0005272744593176229,1.0
0.8988,0.0006892170167806719,0.000971265846650137,0.0005268114380581021,1.0
0.8998,0.0006799840341405676,0.000585664638863876,0.000528710857950251,1.0
0.9007,0.0006725904366790396,0.0006422213372072042,0.0005345546775758773,1.0
0.9017,0.000656669523130621,0.0006020209913897686,0.0005412347527975373,1.0
0.9027,0.0006493902003142702,0.0007024006984057298,0.0005385785997099227,1.0
0.9036,0.0006493165261652882,0.0011047318823506312,0.0005277888764547662,1.0
0.9046,0.0006669803817158122,0.0002831112356822042,0.0005194158868341325,1.0
0.9056,0.0006645736182695723,0.00038280968558593,0.0005156569796044638,1.0
0.9065,0.0006482074131193444,0.00020338569210633317,0.0005138635820721441,1.0
0.9075,0.000649080903800789,0.00028364478055109126,0.0005126952887861609,1.0
0.9085,0.0006599979192390896,0.0009215025093257305,0.0005120944436838334,1.0
0.9095,0.0006493827139955342,0.000306890371361992,0.0005123001789580969,1.0
0.9104,0.0006571457252677985,-0.0005007719725392986,0.000511299364618129,1.0
0.9114,0.0006573050558310248,0.0013638438568116954,0.0005083556377787555,1.0
0.9124,0.0006545040642539497,0.000423434100118414,0.0005055732791266023,1.0
0.9133,0.0006557543406476445,0.00025188112080573594,0.0005037950592086168,1.0
0.9143,0.0006464863046589049,0.0010710463088191243,0.0005025208250075569,1.0
0.9153,0.0006473052656830243,0.0005860815329497285,0.0005016196015689547,1.0
0.9162,0.0006486776562257357,0.0005885622047463844,0.000500900117033344,1.0
0.9172,0.0006449166919342131,0.001918232598133781,0.0005005219616381491,1.0
0.9182,0.0006420909760599241,0.00015299922462640668,0.0004999185435300446,1.0
0.9192,0.000657318842086008,0.0015910470838886139,0.0004991643836795076,1.0
0.9201,0.0006412368420926241,0.0003649931262987332,0.0004991527932707994,1.0
0.9211,0.0006566436009764911,0.0006874280218328486,0.0005009986632023978,1.0
0.9221,0.0006746206975682838,-1.368727191375786e-05,0.0005047147805291786,1.0
0.923,0.0006415797516337282,0.00021122922318606447,0.0005066964044536767,1.0
0.924,0.0006410000000001137,0.0010875113547062776,0.000503493318610892,1.0
0.925,0.0006423963825077031,0.0008288973337103977,0.0004978563129296614,1.0
0.9259,0.0006422767853617145,0.0015203708495869135,0.0004938927916288169,1.0
0.9269,0.0006411377799743297,0.00034363293393851606,0.00049117227799493,1.0
0.9279,0.0006420000742953432,0.0013989697231162027,0.000489171158542541,1.0
0.9288,0.0006461001678329752,0.0009157181677490293,0.0004881217106561636,1.0
0.9298,0.000648524184872384,0.0014025968827317417,0.00048762689479614913,1.0
0.9308,0.0006410000000000408,0.0006511324725551487,0.00048712330040908997,1.0
0.9318,0.0006639799620121368,0.0010768287932907497,0.000485701258985568,1.0
0.9327,0.0006715449326812772,0.0018359249419129964,0.000483838517049158,1.0
0.9337,0.0006476048121659333,0.00032646514224035796,0.00048194083865634634,1.0
0.9347,0.0006450250013346358,0.0006662729736416372,0.0004803210741305919,1.0
0.9356,0.0006409249077972316,0.0005629096193155298,0.000479284178743772,1.0
0.9366,0.0006436311137518652,0.0008477210438719864,0.00047859734966754425,1.0
0.9376,0.0006773619221925744,0.0006733816749867551,0.0004782190857046098,1.0
0.9385,0.00066258799258795,0.0010872707077021833,0.0004784425143450791,1.0
0.9395,0.0006676777794301397,0.0011681740587214662,0.00047799265714185634,1.0
0.9405,0.0007172660685476568,0.00019529262507575668,0.00047644432558098705,1.0
0.9415,0.0006639616726284664,0.00024198529040189926,0.0004750747867843072,1.0
0.9424,0.0006629635509711343,0.001118984000448484,0.00047417422814175164,1.0
0.9434,0.0006566088938789513,0.0008556922720763467,0.0004732226052133227,1.0
0.9444,0.0006468459141889645,0.0008569560306142198,0.00047203042534367534,1.0
0.9453,0.0006411856685368619,0.0012074265824867664,0.00047085019670272776,1.0
0.9463,0.0007296603270859833,0.0009907282101526862,0.0004700375522849196,1.0
0.9473,0.000641000000000057,0.00025684258299669326,0.0004699155653726481,1.0
0.9482,0.0006410000000000132,0.0004341107896947738,0.0004699776267870826,1.0
0.9492,0.0006410000000000489,-2.1962675842353697e-05,0.00047026317125100053,1.0
0.9502,0.0006409999999999938,0.0008095590909223825,0.0004708577000735584,1.0
0.9512,0.0006410000000000047,0.0010782650107852493,0.00047061295063257946,1.0
0.9521,0.0006538354387783129,0.0009045254455704412,0.0004694708945515969,1.0
0.9531,0.0006605186254047538,0.001386464183907679,0.00047063644710280505,1.0
0.9541,0.0006439724031592174,0.000582611619145982,0.0004752864051043117,1.0
0.955,0.0006410000000000388,6.480692125231742e-05,0.00047819751456195,1.0
0.956,0.0006419988273760087,0.0006070368566157657,0.0004744216334627514,1.0
0.957,0.0006416883797847043,0.0008675031485195685,0.0004679671660374269,1.0
0.958,0.0006468268939346219,0.0014210907472239154,0.00046375263617133534,1.0
0.9589,0.0006480980359123913,0.00022232342356464898,0.0004610516172324908,1.0
0.9599,0.0006468793201663951,0.000580510921175337,0.000459214504422929,1.0
0.9609,0.0006451070120817953,0.0004243085300547469,0.00045834338425928644,1.0
0.9618,0.0006442072419360129,0.0003262409837344939,0.00045784686388435634,1.0
0.9628,0.0006620609745376933,0.0007546964976622972,0.00045715047342887995,1.0
0.9638,0.0006653587252892167,0.0008224472448736213,0.0004565650624932444,1.0
0.9647,0.0006450801376654236,0.000685659260165283,0.0004559584543925129,1.0
0.9657,0.0006419999999999538,0.0006941193410092772,0.00045518692622981946,1.0
0.9667,0.0006421833911757414,0.0009520985628290951,0.0004549267753912462,1.0
0.9677,0.0006465415817450824,0.0009680363380472421,0.00045547352375176404,1.0
0.9686,0.0006508840820251604,0.0007783055195969271,0.00045652330267776655,1.0
0.9696,0.0006454852184957084,-0.00036641130878927873,0.0004554036390681587,1.0
0.9706,0.0006447516880080058,0.0006320584379010003,0.000452291095516229,1.0
0.9715,0.0006440000000000178,-0.000252732695993183,0.00044999446470290794,1.0
0.9725,0.0006440000000000434,0.0011577210850496357,0.0004486983738869946,1.0
0.9735,0.0006467779499479623,0.0015092876972192136,0.00044808288387405965,1.0
0.9744,0.0006450979865993125,0.0007719263194208214,0.00044809759688432284,1.0
0.9754,0.0006432698326024015,0.00041184608730554794,0.00044836451720823217,1.0
0.9764,0.0006478315967048593,-5.546872814716911e-05,0.0004489127790912202,1.0
0.9773,0.0006517168436539094,0.0010474846808482372,0.00044844645752133963,1.0
0.9783,0.0006446082284791342,0.000609688347829455,0.0004467085046449159,1.0
0.9793,0.0006482462152642044,0.0008769219502358943,0.00044557680679535653,1.0
0.9803,0.0006653942881693801,0.0008484296365424767,0.00044477162500505645,1.0
0.9812,0.0006532420795935624,0.0007015536881679813,0.00044376055188993796,1.0
0.9822,0.0006483349727206287,0.0004192665839093497,0.00044279674541219873,1.0
0.9832,0.0006470568517917196,0.0005026698073202242,0.0004420743681584852,1.0
0.9841,0.0006460034348873494,0.0014191703739420071,0.0004417850464305804,1.0
0.9851,0.000646999999999938,0.0010024655014318788,0.00044161023438446084,1.0
0.9861,0.0006472745080004207,0.0006883122944919967,0.0004409764190514713,1.0
0.987,0.0006494959531052291,0.00025195360173193275,0.0004407373424607944,1.0
0.988,0.0006564986394651981,0.0010588312286903163,0.0004424066883997036,1.0
0.989,0.0006512022995525312,-1.269586706462687e-05,0.00044660722180700453,1.0
0.99,0.0006540138194924101,0.0007183419323693469,0.0004487202818320061,1.0
0.9909,0.0006491164455371624,0.0006737258829795268,0.00044485639699200745,1.0
0.9919,0.0006451206984075321,0.0005752568612564909,0.00043924040876814984,1.0
0.9929,0.0006511197009856822,0.0007375652084676749,0.0004361863601720854,1.0
0.9938,0.0006574945176978518,0.000633801360464063,0.00043532821561857206,1.0
0.9948,0.0006469053051282181,0.0013162485853846632,0.00043591726437374275,1.0
0.9958,0.0006509999999999023,0.0006825038172315877,0.00043757134723439373,1.0
0.9968,0.0006496229882599724,0.0010123856366966145,0.0004375528504295525,1.0
0.9977,0.0006479999999999195,0.00048355977554973516,0.0004353735258887044,1.0
0.9987,0.0006480000000000688,0.0008200139378092557,0.00043365575495578687,1.0
0.9997,0.000646478337533461,0.0013673135261782255,0.00043356827843029635,1.0
1.0006,0.0006452141453823396,0.0012286571861233032,0.00043395720173197266,1.0
1.0016,0.0006468497200098886,0.00036199175234015706,0.00043414174318914236,1.0
1.0026,0.0006597496373343149,0.0006540866456473615,0.00043612941293874114,1.0
1.0035,0.0006560876819375062,0.0006970885259188603,0.0004428888454032237,1.0
1.0045,0.0006574533746497202,0.001642727920533497,0.0004534459618885698,1.0
1.0055,0.0006568066583689891,0.0005068968673046807,0.0004555506013190453,1.0
1.0065,0.0006509817506968454,0.0016247161405069416,0.00044456386642895287,1.0
1.0074,0.0006490000000000677,0.0004946714490717924,0.00043466368523638994,1.0
1.0084,0.0006490000000000446,0.0004812562408754278,0.0004304477878891361,1.0
1.0094,0.000648193610354309,0.0009541302005065945,0.0004289537146499622,1.0
1.0103,0.0006479999999999674,0.001642076995900016,0.0004280716263774738,1.0
1.0113,0.0006479999999999067,0.0009931811823151097,0.000426806477457022,1.0
1.0123,0.0006460000000000496,0.0002299128606916799,0.00042589703889507987,1.0
1.0132,0.0006463999247106877,0.0007449620939510068,0.0004261951650251557,1.0
1.0142,0.000649544355701031,0.00023683686965216867,0.00042711045094027825,1.0
1.0152,0.0006538782826642179,0.001263207594492906,0.00042714124964478387,1.0
1.0162,0.0006530495243375662,0.0006023278159496944,0.0004261327619837018,1.0
1.0171,0.0006472745676323531,0.0005655680723535792,0.0004248328589495327,1.0
1.0181,0.0006467133370530592,5.286026542583664e-05,0.0004236059803398705,1.0
1.0191,0.0006478518801712318,0.00015458847221842841,0.0004228738033361161,1.0
1.02,0.0006479999999999615,5.6698114241671236e-05,0.00042307666317182896,1.0
1.021,0.0006479360926809319,0.00040610304337244734,0.0004241749069288442,1.0
1.022,0.0006447733514067004,0.0002206837632099983,0.00042495829263891643,1.0
1.0229,0.0006484636037127807,0.0006088857337304514,0.0004236327564260584,1.0
1.0239,0.0006456821958502905,0.00019462567058544695,0.00042131352807539877,1.0
1.0249,0.000645456673763429,0.0009245723109147705,0.00041964407180509984,1.0
1.0258,0.0006469635300691724,0.0010010450220186492,0.00041866133234177294,1.0
1.0268,0.000650483081687171,5.15571219277996e-05,0.000417931267445742,1.0
1.0278,0.0006497236725218216,0.0008651946846509998,0.00041730895025104807,1.0
1.0288,0.0006454099741177396,-0.00023931513686901692,0.00041685788131669597,1.0
1.0297,0.0006440774022581985,0.0010035745032342842,0.00041683543656318063,1.0
1.0307,0.0006451229347107966,0.0007081655730608307,0.000417528253339537,1.0
1.0317,0.0006474009454853592,0.00029926959729857254,0.0004191645659674526,1.0
1.0326,0.00064854938520091,0.00034596854292520175,0.00042171051464975836,1.0
1.0336,0.0006466367053247036,0.00048368880482998637,0.000422457680415939,1.0
1.0346,0.0006460000000000921,0.0008599996745284092,0.0004200136727931639,1.0
1.0356,0.0006453588303237276,0.0016015257531198325,0.0004171179812538304,1.0
1.0365,0.0006443337390525735,0.0012197756601860436,0.0004153750615455698,1.0
1.0375,0.0006439999999999868,0.0005510299920357561,0.0004145904438921288,1.0
1.0385,0.0006439999999999812,0.00019554603797838552,0.0004137622278450052,1.0
1.0394,0.0006439999999999704,-5.5553538194089516e-05,0.00041286256255696857,1.0
1.0404,0.0006428929063452552,0.0008290063150094589,0.00041232353682747,1.0
1.0414,0.0006420000000000919,0.0009477034584651637,0.0004124412281774509,1.0
1.0423,0.00064227074617244,0.0005472764765565082,0.0004132604170541609,1.0
1.0433,0.000642999999999976,0.0016135007446710231,0.00041381190075574174,1.0
1.0443,0.0006424522094117525,0.0011284617353003261,0.0004132304019532431,1.0
1.0452,0.0006420000000001193,0.00031588601598664086,0.00041236573116674075,1.0
1.0462,0.0006448475489866952,0.0008401545393853752,0.00041207383750819484,1.0
1.0472,0.0006468507568601642,0.0002368599479252317,0.0004118067932258845,1.0
1.0482,0.000641068182570929,0.0007290633736480826,0.00041088784595149096,1.0
1.0491,0.0006410000000000157,0.00017726183133736652,0.00040988331496269524,1.0
1.0501,0.0006409999999999417,0.0010957485867079094,0.00040936047112048046,1.0
1.0511,0.0006410000000000729,0.0010721250580216168,0.00040940833306454274,1.0
1.052,0.0006409999999999941,0.0010515736131206995,0.0004107402713671248,1.0
1.053,0.0006409999999999339,-7.598675208757267e-05,0.0004131801000124485,1.0
1.054,0.0006415934168874462,0.0007395507961666537,0.00041329416605310505,1.0
1.0549,0.0006432370163171511,0.0007216259614632893,0.0004107863591220552,1.0
1.0559,0.0006417278666832228,0.000699442978588838,0.0004090919821492289,1.0
1.0569,0.000640103616840487,0.000526917432761871,0.000409690059637006,1.0
