Wavelength_um,Model_Depth,Transit_Depth,Error
0.8309,0.0023386333033491294,0.0024025141256523203,0.00023561465053530104
0.8318,0.0023394305421659384,0.002149786592385082,0.00020899941333249138
0.8328,0.002338292410575965,0.002110340257212993,0.0002051989630953019
0.8338,0.0023405387853088003,0.0023485660048303235,0.00020092169601025918
0.8348,0.0023439555978101573,0.0020540020863062383,0.00019684140101657518
0.8357,0.0023539079961102643,0.0024036336526186536,0.00019454109014932226
0.8367,0.002344403087833145,0.002283803293300988,0.00019355166342037894
0.8377,0.0023409999999999564,0.0023131386501716975,0.00019303913736847962
0.8386,0.0023456807496151015,0.0020552803118064106,0.0001927954141040863
0.8396,0.002349234169575535,0.0022180422104437114,0.00019177363675211635
0.8406,0.002341589992862113,0.0023165886034356344,0.00018971087858796125
0.8415,0.0023543003249287186,0.0023024384473460794,0.00018859451326630697
0.8425,0.002346184983862256,0.002379769932534227,0.00018967310137171068
0.8435,0.0023472427412741807,0.002571033410022029,0.00019215192100829678
0.8445,0.002346907726952549,0.002321201912550521,0.00019436207171215892
0.8454,0.002343776875732647,0.001921706980023672,0.00019621949424459352
0.8464,0.002340194786454037,0.0023339743776099402,0.00019739581353454694
0.8474,0.0023416666885827816,0.001970514544381243,0.00019642854261829165
0.8483,0.0023426423916131033,0.0026555802240460042,0.0001941407688795353
0.8493,0.002343489841322088,0.002049049333794333,0.00019368181787014402
0.8503,0.0023450000000001235,0.002696906979062089,0.00019374798943914571
0.8512,0.002343678850682253,0.002356741015001551,0.00019144085267290765
0.8522,0.0023485965851151036,0.0024151138919135118,0.00018822183041610396
0.8532,0.002351874899672193,0.0025288137683241387,0.00018648823339047915
0.8542,0.0023466947356203536,0.002398032805146458,0.00018518919317300943
0.8551,0.002343405357917007,0.0023839162106920426,0.00018239014108215065
0.8561,0.0023462789654004456,0.0022345621842940894,0.00017902514240738943
0.8571,0.002344000000000049,0.001783518784310469,0.00017698295455746777
0.858,0.0023435968332006568,0.0024761243492801826,0.00017590494779089208
0.859,0.0023435421721865733,0.0022167083670455727,0.000174902228473091
0.86,0.0023467244387477253,0.002227788250610259,0.00017369317572943468
0.861,0.002343899764063116,0.0024020419979613027,0.00017217135233208862
0.8619,0.002343000000000054,0.002498651460816389,0.00017043387826491902
0.8629,0.002342999999999981,0.002251491153003299,0.00016916337703604833
0.8639,0.002343878125492535,0.002281408655111848,0.00016917519285662719
0.8648,0.002342853102108528,0.0023403675648035007,0.00017121633128357853
0.8658,0.002342285903278832,0.0025552250943983554,0.00017436886778807772
0.8668,0.0023434248407794567,0.0022021077329515406,0.00017491757235776664
0.8677,0.0023440000000000123,0.002621133418664974,0.00017296292460610465
0.8687,0.002344587730598842,0.0022511558287547193,0.00017173285781570753
