Wavelength_um,Model_Depth,Transit_Depth,Error
0.8309,0.0006498222622013737,0.0008475313970029406,0.00031542247071619274
0.8318,0.0006462916264979386,0.00017010438119919035,0.00027846668643776714
0.8328,0.0006520758942397259,0.00023864620009756625,0.0002736348327165075
0.8338,0.0006516149529216031,0.0006039112995587931,0.00027086112453819053
0.8348,0.0006509999999999191,0.0010616931093954999,0.0002677314242975966
0.8357,0.0006629488867278652,0.0010080568361088955,0.0002630970139531176
0.8367,0.0006572538597915576,0.0006770462490488572,0.00025919454921891397
0.8377,0.0006515608114560783,0.0009114170634816228,0.00025651901758359666
0.8386,0.0006533048495639212,0.0008425119257618811,0.00025418135533247663
0.8396,0.0006609405017453513,0.0004499611309341149,0.00025240834975596873
0.8406,0.0006530500356894117,0.0008442305230757589,0.00025150096270727267
0.8415,0.0006719105523788919,0.0007408963964330397,0.00025107868505287734
0.8425,0.0006578885437637239,0.00015519252987840847,0.0002497728833734905
0.8435,0.000657918201820277,0.00021929802866694543,0.00024734795325950863
0.8445,0.0006539384846351928,0.0007969636117140192,0.00024521975373868483
0.8454,0.0006519442189330711,0.001028395342497893,0.0002448464677578798
0.8464,0.0006508052135458489,0.0006667972583572275,0.00024582207006292403
0.8474,0.0006506666885829276,0.00048114488123396967,0.0002465601583273365
0.8483,0.0006541456503204786,0.0005191370191945848,0.00024819978648755043
0.8493,0.0006555169311299346,0.00043832977012148665,0.0002527909266035022
0.8503,0.0006517288974511379,0.0009828589614720405,0.00025426535180460383
0.8512,0.0006510000000000147,0.0010061420317569773,0.00024835305637530724
0.8522,0.0006533985364779688,0.0008260517159195072,0.00024202767252985133
0.8532,0.0006549374498360572,0.0011935027264651167,0.00024049092768773877
0.8542,0.0006586184195256358,0.0007223822320608329,0.00024133418970754276
0.8551,0.0006537973210414021,0.0006399908721082025,0.0002402191017645616
0.8561,0.0006534420691992108,0.0005267129722296719,0.00023662230405481943
0.8571,0.0006568634473781271,0.0005273446789388714,0.0002332172311883807
0.858,0.0006529841660040527,0.0006563701662736541,0.00023116351433624167
0.859,0.0006537952053052164,0.0006360114172437998,0.00022997221628484057
0.86,0.0006542755612522263,0.001241915152603185,0.00022905367830105077
0.861,0.0006505398584378896,0.00043719616485730147,0.0002284331353817811
0.8619,0.000649999999999975,0.0007733857856730732,0.00022827773044169135
0.8629,0.0006529488692561228,8.659736043349349e-05,0.00022900749265553162
0.8639,0.0006513656235218264,0.0011864836242666058,0.0002315420792599796
0.8648,0.0006538531021084323,0.000553426638211026,0.0002365597154387055
0.8658,0.0006530000000000084,0.0009902182601046177,0.00024179650291906928
0.8668,0.0006538496815589348,0.0005213721080010106,0.00024199579445172416
0.8677,0.0006541012952542057,0.0010632554075436233,0.00023768001982778128
0.8687,0.0006535877305988287,0.0006133143218447916,0.00023354593959362896
0.8697,0.0006540000000000389,0.0003611763621272959,0.00022862752020175688
0.8707,0.0006557312111994745,0.0004886264555829295,0.0002236626351896812
0.8716,0.0006559999999999292,0.0007783958007004788,0.00022129872168630212
0.8726,0.0006540000000001136,0.0005782243586234685,0.00022166193808059547
0.8736,0.0006543348658394359,0.0006329089939538543,0.00022355710045156044
0.8745,0.0006559999999999723,0.0005725416826915731,0.00022407534890848786
0.8755,0.0006556685383085709,0.0006234810330205835,0.00022160839044456726
