Wavelength_um,Model_Depth,Transit_Depth,Error
0.8309,0.002282177737798499,0.0023351154368249686,0.0003545034385751481
0.8318,0.002283430542165986,0.0025074326772827264,0.00031321008797395095
0.8328,0.0022822924105759994,0.001967610149625259,0.00030641521877670816
0.8338,0.002285385047078497,0.0028067245710761057,0.0002977243302753431
0.8348,0.0022899407970802107,0.00207551875913726,0.0002892926858359206
0.8357,0.0023108159922207473,0.0023430422484678605,0.00028462876092888754
0.8367,0.0022919554037080124,0.002322468550066941,0.00028348668438237564
0.8377,0.0022859999999999595,0.0018959240249734487,0.00028296631321279825
0.8386,0.002295049449255802,0.0018903061824016697,0.00028058035051336025
0.8396,0.0023014683391509626,0.002171711090172303,0.0002768142554010309
0.8406,0.002286179985724278,0.0022394857968886994,0.0002735977800985046
0.8415,0.0023140607148433466,0.002266256265018356,0.0002721991243476355
0.8425,0.0022963575836979036,0.0024028736280436993,0.0002729438018814006
0.8435,0.002294810022002182,0.0020021893533734166,0.0002767794890648754
0.8445,0.002295846211587479,0.0024913531896869376,0.0002844940131176779
0.8454,0.002290665313599108,0.0023722326411100584,0.00029423320143885727
0.8464,0.002285000000000047,0.0024829154316413013,0.0003006364128037762
0.8474,0.0022863333771654974,0.0022291890755849805,0.0003020099161431445
0.8483,0.00228864239161327,0.002218613372752844,0.00030536814356451366
0.8493,0.0022904830688702743,0.002071194971520033,0.0003165623595267082
0.8503,0.0022923644487255522,0.0022881831148700124,0.0003222830846351571
0.8512,0.0022900182760233444,0.0021419567300422267,0.00031115319013465015
0.8522,0.0022977946337522782,0.0020156009326035887,0.0002982871576468741
0.8532,0.002302812349508246,0.002656961594388006,0.000292185850532503
0.8542,0.0022953894712409127,0.001927782925438303,0.00028767498652185864
0.8551,0.002288810715833855,0.001673482734647685,0.0002808888483548561
0.8561,0.0022945579308008023,0.0022764923827767064,0.00027340591813784576
0.8571,0.0022903788508739655,0.0025888435259768167,0.00026819317876866026
0.858,0.002289790499602374,0.0018850078527929096,0.00026418741305719634
0.859,0.002289626516559362,0.0028227152302832403,0.00025898421330721594
0.86,0.002294405548434572,0.002274800203542633,0.00025366270098505547
0.861,0.002290259669688328,0.002363610474739001,0.00025032378432423305
0.8619,0.002289000000000011,0.0026817929548471004,0.00024901305123468834
0.8629,0.0022880170435813094,0.0023726526848943316,0.00024858172294314843
0.8639,0.0022899999999999934,0.002472804833470028,0.0002480736972936912
