Wavelength_um,Model_Depth,Transit_Depth,Error
0.8309,0.002743355475597386,0.00270999060346879,0.00027861634952996506
0.8318,0.0027441527108297407,0.003269554651886644,0.000246879899262821
0.8328,0.0027412924105761675,0.0024728882375976507,0.0002426865812004966
0.8338,0.00274946261769603,0.002485418541162547,0.00023903029377626798
0.8348,0.0027598667934301806,0.0029681651104080256,0.00023640600046354252
0.8357,0.002777826214875127,0.0025725371495527176,0.00023501333020209555
0.8367,0.002759209263499741,0.002378254844164521,0.00023323439001509376
0.8377,0.0027492878377088576,0.0026452357000857256,0.00023111922271825406
0.8386,0.0027590494492558603,0.002955604075274662,0.00022949727470769754
0.8396,0.002765017283789455,0.002929687873812226,0.0002275416662216927
0.8406,0.0027509499643103225,0.0028919423178770105,0.00022554409912539067
0.8415,0.0027714504873930946,0.002628442185243186,0.00022612341939143434
0.8425,0.0027573947357767414,0.0024639747298295105,0.00023022936812372904
0.8435,0.002767728223822467,0.0023119849894533023,0.00023509805347144298
0.8445,0.002768753938540246,0.0027510473704678755,0.00023631854533000068
0.8454,0.0027602748461312923,0.002661555417996832,0.00023606848719298225
0.8464,0.002748194786454068,0.0025757847915703945,0.00023813873928919032
0.8474,0.002751333410039369,0.002823072263554447,0.00023837020137741833
0.8483,0.0027549271748396873,0.0027216617571688448,0.00023245000777394505
0.8493,0.0027584627515147477,0.0025568461008045806,0.00022563184237532792
0.8503,0.0027633644487255055,0.0026174733119045993,0.0002222070456199918
0.8512,0.0027577154027291673,0.0028669916982699915,0.0002224151829314929
0.8522,0.0027717897553452527,0.0026360782445134967,0.00022441394950891138
0.8532,0.0027788123495081935,0.002538637243869399,0.00022556824670706216
0.8542,0.0027651605229562282,0.0028215343625813552,0.00022418069454996142
0.8551,0.002756418752709403,0.0026767344882674226,0.0002209650144591388
0.8561,0.002766596551334693,0.0027871270209044387,0.0002176055267934867
0.8571,0.002759757701747932,0.002906845791929541,0.00021485755154943868
0.858,0.002758580999204796,0.00283957873347939,0.00021329415827691034
0.859,0.002757168688745773,0.0023779429715198126,0.00021333064239571523
0.86,0.002766492206556014,0.002942459580606348,0.00021224137998754263
0.861,0.0027576992921893545,0.00273633622810696,0.00020906190868301552
0.8619,0.002754154929428238,0.0025516254568069795,0.0002056497014535866
0.8629,0.0027540000000001222,0.002914132496838001,0.00020309484065152356
0.8639,0.0027585125019708432,0.002567583200135731,0.00020236118175666538
