Wavelength_um,Model_Depth,Transit_Depth,Error
0.8309,0.0053685332133960595,0.005156249085575243,0.0003349840567699022
0.8318,0.005364319216821573,0.005583050629389908,0.0002933733542898758
0.8328,0.005361245536543789,0.0053586849299994905,0.0002892575418866431
0.8338,0.0053790789736224065,0.00569704689738366,0.0002868009551446352
0.8348,0.005390866793430467,0.005631151433915466,0.0002828394292074707
0.8357,0.0054058364375294335,0.005598958033191921,0.0002803244207397799
0.8367,0.005387761579374557,0.00563301284841044,0.00027943309481191976
0.8377,0.005375575675417512,0.005412093149522664,0.00027755424894251185
0.8386,0.0053844891993840936,0.005242412911998293,0.0002740486122670168
0.8396,0.005388821505235851,0.005330144737468127,0.0002691587568156879
0.8406,0.0053781299500346505,0.005768570676979989,0.00026676573862399186
0.8415,0.005392070292435972,0.005387382675684783,0.0002716215176754029
0.8425,0.00538017259983598,0.0055638038407729365,0.0002846243864005182
0.8435,0.005401646425642391,0.005308273936840057,0.00030127720390390333
0.8445,0.005401753938540182,0.005488529599779818,0.00031111957545872966
0.8454,0.0053930517218639,0.005695648595214042,0.00031376486618804584
0.8464,0.005376805213545733,0.0054580259342844805,0.00031808771392879726
0.8474,0.005379333442913615,0.005492704387234831,0.0003221071973921828
0.8483,0.005384569566452902,0.005343139433772707,0.0003165765992035788
0.8493,0.005388952592836752,0.00589049658894214,0.000306497374594956
0.8503,0.00539727110254896,0.005431806613654815,0.00030029874056473676
0.8512,0.005389412529434782,0.005504299654663303,0.00030042346210118926
0.8522,0.005404987803982683,0.0051638335053960155,0.00030334907829159756
0.8532,0.005411874899672169,0.00508608034135248,0.0003028253872515544
0.8542,0.005395084206861274,0.005692578590709677,0.0002979356772996975
0.8551,0.005385925450105606,0.0045599048764292886,0.0002917329313836668
0.8561,0.005400356206468166,0.004995421393418433,0.00028632888625171397
0.8571,0.005392757701747811,0.005219404986510777,0.00027989711811736786
0.858,0.005389968332008137,0.005150242757362202,0.00026978119606601626
0.859,0.005387253033118887,0.005130250056438257,0.0002608441414344959
0.86,0.005400897754990773,0.0049234172924571586,0.0002559127776440438
0.861,0.005387958961877878,0.004925136521630376,0.0002534436902566221
0.8619,0.005381464788284753,0.005551066744055561,0.0002525012294404276
0.8629,0.005382965912837352,0.005616901364234627,0.0002520872557159542
0.8639,0.005389903129434168,0.005691271758494308,0.0002515029243385253
0.8648,0.005381265510541753,0.005300668718154416,0.00025319977587561
0.8658,0.005378143613115659,0.0052432367601053685,0.00025801313323890214
0.8668,0.0053848235670146466,0.005599217382886855,0.00025923667570917815
0.8677,0.005390000000000081,0.0056275403900882875,0.00025566360081256793
0.8687,0.0053899999999999825,0.005526187448724617,0.0002525549156001313
0.8697,0.005397266680993606,0.0057395160507547815,0.0002460389170926724
0.8707,0.00538874712720278,0.005404753297327453,0.00023721353734858464
0.8716,0.005390562515936579,0.005342836394232835,0.0002316369261525448
0.8726,0.00539419946793504,0.005404974904998833,0.00022866326528498808
