Wavelength_um,Model_Depth,Transit_Depth,Error
0.8309,0.013754544434449659,0.013450344829446407,0.0005461384117401429
0.8318,0.01375613891566798,0.014038005265385853,0.0004872113976725013
0.8328,0.013757000000000004,0.01408526274562216,0.00048436798783060424
0.8338,0.01375700000000001,0.014087950887799489,0.0004729637275133452
0.8348,0.013758970398540182,0.012944978856733118,0.00045652098526268077
0.8357,0.013778836437529472,0.01406306246073511,0.00044691463079774463
0.8367,0.013762253859791412,0.013938332862442927,0.00044614041648820165
0.8377,0.013757712162291252,0.01353742000203057,0.0004465002296446975
0.8386,0.013765737399281466,0.0142654181823493,0.00044271030671712367
0.8396,0.013772370449874267,0.01402266798673763,0.00043740114653383446
0.8406,0.013757000000000028,0.013586101133999752,0.0004342072123278596
0.8415,0.013811736445933101,0.012434275490411942,0.00043545376232259576
0.8425,0.01377897445541563,0.014020208073520623,0.00044092766608294247
0.8435,0.013761459100910077,0.014453753410504847,0.00045354705503589896
0.8445,0.0137609384846352,0.013538347094219175,0.0004787027489177422
0.8454,0.013758888437866483,0.014518915102180622,0.0005120140017563311
0.8464,0.013756805213545888,0.014078508423423184,0.0005351497782429555
0.8474,0.013757000032874014,0.01431602221821813,0.0005391341139488931
0.8483,0.01375864239161324,0.01335041095678948,0.0005361436079016624
0.8493,0.013758496613773975,0.013714727382567574,0.0005417777615247567
0.8503,0.013759000000000013,0.01406755753392497,0.0005503000011730563
0.8512,0.013758339425341286,0.014514730646611348,0.0005476150925258576
0.8522,0.013761198048637296,0.013905762330174995,0.0005342592440098629
0.8532,0.01376293744983599,0.014467891076788301,0.0005121466558467235
0.8542,0.013764542103430675,0.013456393559049023,0.00048505694569606815
0.8551,0.013759101339479246,0.013702502922051515,0.00046268141857637234
0.8561,0.013759759655133484,0.01245690147916222,0.00045012654539217675
0.8571,0.013759000000000023,0.013899202632012577,0.0004450356786242825
0.858,0.013758596833200815,0.014089800657701379,0.0004417201937456155
0.859,0.013758542172186307,0.013616727243677504,0.0004389866481239521
0.86,0.013759681109686952,0.014358076530453606,0.0004366388119894238
0.861,0.013758359905625453,0.01379469293162425,0.00043381131185036225
0.8619,0.01375799999999998,0.013633179274059843,0.00043165909286062466
0.8629,0.013757999999999979,0.013784587633735777,0.0004310515392608243
0.8639,0.01375812187450737,0.013755878493524802,0.00042992399778671666
0.8648,0.013758853102108396,0.013781844403233233,0.0004275991481353981
0.8658,0.013758285903278994,0.01328672391672651,0.0004267329864289548
0.8668,0.013759424840779366,0.0140695404158755,0.00042733916356947616
0.8677,0.013759999999999897,0.013520325003131143,0.0004255041289234078
0.8687,0.013760587730598914,0.013570483281509524,0.00041780870922711907
0.8697,0.013762453336198676,0.012781514110577671,0.00040413861967493567
0.8707,0.013762134394400301,0.014245841950723611,0.00039132827346382003
0.8716,0.013762000000000031,0.01371205788707147,0.000383275192292327
0.8726,0.01376205699083858,0.013850954862872461,0.00037787543001168263
0.8736,0.01376333026832105,0.013843135811242685,0.00037386911686148895
0.8745,0.0137609622815204,0.013657856270729832,0.00037119603620494655
0.8755,0.013763342691543216,0.013221018640867934,0.00036899382791744984
0.8765,0.013759059201616386,0.01399929962450403,0.00036610513189799354
0.8774,0.013759484576866505,0.01395540226439266,0.0003613599823184172
0.8784,0.013761633289011355,0.01398448493469319,0.0003558873025545197
0.8794,0.013761999999999918,0.013798041838746456,0.0003524964604121548
0.8803,0.013759608250311849,0.013882339548172445,0.00035096965493248446
0.8813,0.013764617124379342,0.014663075472642765,0.00034981891004688865
0.8823,0.013764150214480774,0.012996281809474331,0.00034872690107558984
0.8833,0.013766212991332022,0.014125483031004268,0.0003481794485853063
0.8842,0.013766285955850556,0.013311314837338597,0.00034923550339970824
0.8852,0.013765508080415052,0.013342413562877338,0.00035424891480318046
0.8862,0.013771611703229636,0.013447517180274659,0.00036394282589143073
0.8871,0.013784186214147572,0.013686576068321691,0.0003714209924453413
0.8881,0.013806255795898054,0.01429656553203908,0.000366757432927267
0.8891,0.013847346966815135,0.013621265091546866,0.0003533047080146853
0.89,0.013854999999999621,0.013552888430490908,0.00034324559939122204
0.891,0.013931576173100186,0.01324783447640009,0.0003383041418266741
0.892,0.013982793861771026,0.01415509065119463,0.0003335576683826727
0.893,0.013979170994890877,0.014069914674679582,0.0003308818709973972
0.8939,0.013941255398022467,0.013538561629081668,0.0003333469799985737
0.8949,0.0137995484296763,0.013928884109315021,0.00033635812478479077
0.8959,0.013800914868383012,0.013498886481585495,0.0003344520172551412
0.8968,0.013799855751380704,0.013764752591097933,0.00032843097347406096
0.8978,0.013818814616601489,0.014054636409698569,0.0003197394398043116
0.8988,0.014023252250732227,0.014046734999217823,0.00031332383117732516
0.8998,0.013955892800659061,0.014339196499006047,0.0003152523193372338
0.9007,0.013906761053845543,0.013747553130801435,0.0003228130479504864
0.9017,0.013820846544478672,0.014038220146581746,0.0003268391479025049
0.9027,0.013786951001571993,0.013912538691896983,0.00032328601934484034
0.9036,0.01378559523620275,0.014289395757100948,0.00031589953220563646
0.9046,0.01388266905793732,0.014115473054193382,0.0003088772755223271
0.9056,0.013870119528338196,0.013904990224584336,0.0003041552890325494
0.9065,0.013783829652477734,0.013855208811160591,0.00030174038906919087
0.9075,0.013785783163303027,0.01405717919372019,0.00030012471132135715
0.9085,0.013834445087450265,0.013896186059198744,0.00029582823671395344
0.9095,0.013787722212980372,0.014108986745612144,0.0002900172761787725
0.9104,0.013822510038436769,0.014175340303830532,0.00028742812357969883
0.9114,0.013821796487282522,0.013392607054385192,0.00028800451220218265
0.9124,0.013811469101993759,0.013601887794545886,0.0002877874927294225
0.9133,0.013818769222867759,0.013542591069543884,0.0002850865135858076
0.9143,0.013777945218635918,0.013727545160176415,0.0002809516713299543
0.9153,0.013781873695573434,0.013940265423096414,0.00027694300053566194
0.9162,0.013786355312451622,0.013851679643471358,0.00027442970089441236
0.9172,0.013771483429350473,0.013739855444874133,0.00027346745249834305
0.9182,0.013762272928179355,0.013443640176615703,0.0002734114269329112
0.9192,0.013823995175359552,0.014113512480388593,0.00027516774517940434
0.9201,0.013756828947323607,0.013385959581942766,0.0002791670499858004
0.9211,0.013844089326558753,0.013778492197621046,0.0002835731420203659
0.9221,0.013952099663457694,0.013886291219934507,0.0002877636493181041
0.923,0.013757898758169148,0.013488686545593178,0.00029118715161086757
0.924,0.01375555925375336,0.014167318712712823,0.00029112913110756756
0.925,0.013762283721285094,0.013936761553980647,0.0002882491160325144
0.9259,0.01376066071217041,0.013416600138236782,0.0002872830744388113
0.9269,0.013755551119897874,0.014255901058753354,0.00029150630184978374
0.9279,0.01375900037147681,0.013549985544587119,0.00029968058369280603
0.9288,0.013779400671331028,0.014040371300550426,0.0003058930600114189
0.9298,0.013788768780571455,0.013327096967414343,0.0003054890029947608
0.9308,0.013757302984845982,0.014328775600044669,0.0002999985122877621
0.9318,0.013886157480452795,0.013619628098104769,0.0002929046430012843
0.9327,0.013923000912142358,0.014013475798480208,0.0002874509600940038
0.9337,0.01378483849732709,0.013583499333002944,0.0002852366843692655
0.9347,0.013774612506006171,0.013707233494497732,0.0002838444784964642
0.9356,0.013757699631189273,0.013967532169323709,0.00028284157779342767
0.9366,0.01376670889813154,0.014075059773568988,0.00028554956525270403
0.9376,0.013949487878360589,0.013467662505009002,0.0002906377735093598
0.9385,0.013848787167386103,0.014056167930043327,0.0002926951931022509
0.9395,0.013922896176070915,0.013695204032220847,0.0002907362160897412
0.9405,0.014250638186009459,0.014359647859607643,0.000288456318990365
0.9415,0.013884895228183985,0.013527482749214835,0.00028644031182297993
0.9424,0.013881460122170381,0.014535072930952584,0.0002829209966653283
0.9434,0.013829191134189947,0.014222782916712185,0.0002789423745956781
0.9444,0.013781965419417364,0.013582088586296266,0.0002754154646960264
0.9453,0.013758185668536987,0.013609159392739127,0.0002715362550910358
0.9463,0.014336675468184115,0.014283234334322164,0.0002680329140270085
0.9473,0.01375490783062555,0.014018778768524916,0.00026684481719073665
0.9482,0.013754116158783023,0.013507731721355746,0.0002681232244048107
0.9492,0.013755510192566869,0.013194427050242822,0.0002715368325969624
