Wavelength_um,Transit_Depth_ppm,Error_ppm
2.8705440656200856,1738.4133815439582,1632.6858636146835
2.871219918514831,1738.505292635776,1556.4953917488954
2.871895763808353,1738.59720269382,1603.2614860215613
2.8725715630920616,1738.6891064946917,1791.1108449991452
2.87324736237577,1738.7810102959677,1128.1972823840247
2.8739231616594787,1738.8729140969565,1224.5467563155219
2.874598972880794,1738.9648195213178,1876.2326379206615
2.87527481269201,1739.0567288339487,2017.897335593476
2.875950652503226,1739.148638146305,1759.4343566526784
2.876626492314442,1739.2405474589373,2321.924070166478
2.8773023092070065,1739.3324536545829,1164.0190609526655
2.8779780977695286,1739.4243559976278,2101.474574133735
2.8786538863320503,1739.5162583406984,2142.738597831153
2.879329674894572,1739.6081606838075,1948.6531664512395
2.880005450594114,1739.7000612774568,2170.6772593910264
2.880681217715283,1739.7919607046322,1355.260578695879
2.881356984836452,1739.88386013178,1813.0296279124343
2.8820327519576208,1739.975759559037,1716.47309972386
2.882708502945143,1739.7519250954017,1734.9327315578585
2.8833842486263195,1739.4149712199178,2090.563509920577
2.884059994307496,1739.078017344342,2231.0347590907113
2.884735739988672,1738.7410634689877,1542.4535128785974
2.885411437168953,1738.4041337778503,1975.4616037595636
2.8860871292561,1738.0672066266875,2101.833213105594
2.886762821343247,1737.7302794751777,1514.3309959623955
2.887438515745513,1737.3933511695507,1027.2111829348003
2.8881142483571396,1737.0564038109949,1823.885923906672
2.8887899809687663,1736.7194564525323,1685.3239240341597
2.8894657135803925,1736.3825090940554,1777.2563886741214
2.8901414354738035,1736.0455670800911,1874.2285968517108
2.8908171168431647,1735.7086452731505,1793.5211455845017
2.891492798212526,1735.37172346602,1698.7155449301104
2.892168479581887,1735.0348016590065,1483.5686954722066
2.89284415320765,1734.6978837133431,1796.2615608506417
2.8935198131424595,1734.360972594444,1520.2301000428438
2.894195473077269,1734.0240614755455,2257.3805682331845
2.8948711330120784,1733.687150356507,1577.415136922675
2.8955467819464173,1733.3502447230626,1838.0970219990215
2.8962224204480354,1733.0133442915871,1472.3135620800917
2.896898058949653,1732.676443860132,1572.9318059269476
2.897573697451271,1732.3395434286504,1758.214908061753
2.8982493003188003,1732.0026607658144,1117.89886663603
2.8989248852433875,1731.665787050013,648.9115682329747
2.899600470167975,1731.3289133341907,1956.664626398505
2.9002760550925624,1730.992039618347,2175.3582365911416
2.900951673109009,1730.6551494015555,1105.3717833072362
2.901627298555048,1730.3182554802274,1626.0040709743307
2.9023029240010874,1729.9813615587148,1667.180851389443
2.9029785494471265,1729.644467637409,1639.485232002528
2.9036541252928463,1729.3075984487082,1659.1731610740733
2.904329699503047,1728.981374528695,1842.029660592317
2.905005273713248,1728.7670134631037,1669.5282387415164
2.905680845361378,1728.5526532102176,2152.826959389736
2.906356398143825,1728.3382989434222,1773.3260459267754
2.9070319509262723,1728.1239446767497,1718.2600499907564
2.90770750370872,1727.909590410096,2062.651936581962
2.9083830506860058,1727.6952379853437,1815.6097997346767
2.909058582042059,1727.4808905174743,1715.4123238416237
2.909734113398112,1727.266543049416,2018.6515360513072
2.910409644754165,1727.0521955812958,1773.30820305099
2.9110851670649933,1726.837850983383,2010.6542234444228
2.9117606769960114,1726.6235103136048,1616.1085928630087
2.9124361869270294,1726.4091696437342,1871.1195124139072
2.9131116968580475,1726.1948289740358,2201.900389620356
2.91378718222532,1725.980496098445,1709.9798356576875
2.9144626493103445,1725.766169023623,2159.5807321733573
2.915138116395369,1725.5518419487164,1813.6053992737407
2.9158135834803938,1725.337514874009,1838.229144992899
2.916489079907918,1725.1231784888557,2031.2216174987755
2.917164587511064,1724.908838557689,1617.5806115036758
2.91784009511421,1724.6944986265846,1314.320451145233
2.9185156027173558,1724.4801586952537,2283.090024645763
2.9191910654984543,1724.265832986403,1681.525349954638
2.91986652187283,1724.05150931007,1706.4284653386494
2.9205419782472055,1723.8371856338144,1602.2865356684238
2.9212174340698627,1723.622862132592,1773.106401995294
2.921892869023959,1723.4085452532945,1557.2099919457924
2.9225683039780557,1723.194228373803,1426.1115271917824
2.9232437389321517,1722.979911494309,1662.8819141154063
2.9239191701068235,1722.7655958138132,1817.7752385643275
2.924594583641999,1722.5512857307265,2216.0703385495926
2.9252699971771747,1722.3369756475902,2076.236027753689
2.9259454107123504,1722.1226655644032,1203.3991283916712
2.9266208067380903,1721.8690812611292,1626.86084558631
2.927296166731907,1721.5629343916619,1767.0583771779038
2.927971526725724,1721.2567875225327,1409.73417258226
2.9286468867195405,1720.9506406529395,1725.0488007359397
2.9293222660510057,1720.6444850173787,1220.589062454323
2.9299976665599154,1720.33831978239,1316.0138249947343
2.9306730670688252,1720.0321545471868,1874.8571299045095
2.931348467577735,1719.7259893121295,1517.5516169283296
2.932023835947624,1719.419838645722,2038.1052919137182
2.932699185234188,1719.113696630045,1813.698124835953
2.9333745345207514,1718.8075546143225,1682.581289317164
2.934049883807315,1718.5014125986008,1890.214084221118
2.9347252164417026,1718.1952781316631,1934.1688051605602
2.9354005443147786,1717.8891458226824,1684.0497004384042
2.936075872187854,1717.5830135140704,1631.2213464834351
2.93675120006093,1717.2768812054417,1257.3483914436295
2.9374265080692368,1716.97075790156,1851.0751683481653
2.9381018145301825,1716.6646352992502,1713.41978896725
2.938777120991128,1716.3585126966045,1707.7128619919383
2.93945242329335,1716.052391979499,1735.8998474577238
2.9401276762299107,1715.7462936401025,1323.4036312357764
2.9408029291664715,1715.4401953007173,1436.5665125939802
2.9414781821030322,1715.1340969614337,1760.5926703403425
2.942153444250252,1714.8279944469018,1931.1991908819018
