Wavelength_um,Transit_Depth_ppm,Error_ppm
2.8705440656200856,3362.2795661041523,3247.2130904382157
2.871219918514831,3361.4523662783376,2974.725708558449
2.871895763808353,3360.6251757558102,2893.2961117214327
2.8725715630920616,3359.7980415464554,3183.8046160590225
2.87324736237577,3358.970907337031,3341.001675764492
2.8739231616594787,3358.1437731275496,3759.690247479119
2.874598972880794,3357.316624307247,3946.3933032115638
2.87527481269201,3356.4894404948895,3306.733700799119
2.875950652503226,3355.6622566824312,3167.764353469539
2.876626492314442,3354.8350728699484,3290.3539668025646
2.8773023092070065,3354.007917108417,3590.4462935272923
2.8779780977695286,3353.1807960209976,3001.1509196172574
2.8786538863320503,3352.353674933515,2792.977983721562
2.879329674894572,3351.5265538461654,3204.466321080974
2.880005450594114,3350.6994485022115,3639.0311111701853
2.880681217715283,3349.87235365764,3322.6239972121857
2.881356984836452,3349.0452588130215,3525.4550254502847
2.8820327519576208,3348.2181639684095,3051.559691820298
2.882708502945143,3348.405940753022,3405.1060595531007
2.8833842486263195,3348.9573198219396,3580.118726252251
2.884059994307496,3349.508698890913,2971.932874473891
2.884735739988672,3350.060077959894,3296.8210793836192
2.885411437168953,3350.6114174542477,3593.1817681763614
2.8860871292561,3351.1627527928317,3075.8012925739285
2.886762821343247,3351.7140881314176,3659.24410015251
2.887438515745513,3352.2654253590867,3286.5747757776103
2.8881142483571396,3352.81679376373,3478.526726261409
2.8887899809687663,3353.3681621685796,3044.942500481986
2.8894657135803925,3353.9195305733197,2925.169184299108
2.8901414354738035,3354.470890232479,3521.996987078391
2.8908171168431647,3355.0222168258247,3230.157750697877
2.891492798212526,3355.573543419084,3648.059633935467
2.892168479581887,3356.1248700124243,3674.694960221697
2.89284415320765,3356.6761902874064,3185.7783191344674
2.8935198131424595,3357.2274993909145,2877.0484628187355
2.894195473077269,3357.778808494626,3513.1536851099904
2.8948711330120784,3358.3301175981724,3155.6201161800263
2.8955467819464173,3358.881417726065,2914.2818076239755
2.8962224204480354,3359.43270934113,3439.5563643683777
2.896898058949653,3359.984000956218,2869.642294165426
2.897573697451271,3360.535292571271,3429.164533549625
2.8982493003188003,3361.086555110484,3002.6749921931246
2.8989248852433875,3361.6378030091423,3174.423611459438
2.899600470167975,3362.189050907632,3883.0493078234385
2.9002760550925624,3362.740298806182,3511.7091898601884
2.900951673109009,3363.2915737062854,2760.162356370588
2.901627298555048,3363.8428546686537,2779.7501471250516
2.9023029240010874,3364.394135630964,3797.7562551738533
2.9029785494471265,3364.945416593284,3528.35783592362
2.9036541252928463,3365.4966570838296,2808.1559789854846
2.904329699503047,3365.8722824828205,3189.0648889796435
2.905005273713248,3364.4023780320067,3614.0447835080445
2.905680845361378,3362.9324791556833,3406.4421274786487
2.906356398143825,3361.4626213270512,2788.044077702943
2.9070319509262723,3359.992763498398,3506.445463383789
2.90770750370872,3358.522905669714,3586.426293974334
2.9083830506860058,3357.0530604719124,3111.7116761009943
2.909058582042059,3355.5832492625523,3643.6477229494053
2.909734113398112,3354.1134380530916,3095.9943935289293
2.910409644754165,3352.643626843709,2800.187563361086
2.9110851670649933,3351.173835314869,3652.724260855547
2.9117606769960114,3349.7040707216547,3419.1010580849593
2.9124361869270294,3348.2343061286247,3416.9648565870457
2.9131116968580475,3346.764541535481,3296.7327507130994
2.91378718222532,3345.294830387767,3110.117475705929
2.9144626493103445,3343.8251590182726,2676.8686033083623
2.915138116395369,3342.3554876489916,3577.589187523018
2.9158135834803938,3340.8858162793854,3388.2407628368755
2.916489079907918,3339.4160810670846,3145.612411600835
2.917164587511064,3337.946321538797,3118.191983901431
2.91784009511421,3336.476562010747,3767.3523259732387
2.9185156027173558,3335.0068024826055,3794.383373753293
2.9191910654984543,3333.5371404775433,3703.9981567154186
2.91986652187283,3332.0674924121595,3444.570843827759
2.9205419782472055,3330.597844346735,3528.1122790746294
2.9212174340698627,3329.1281974818785,3098.3569810873655
2.921892869023959,3327.658596022479,3691.678506376089
2.9225683039780557,3326.1889945630014,2722.7485525454845
2.9232437389321517,3324.7193931034976,3267.0729865257927
2.9239191701068235,3323.2497998672716,3126.8086894652697
2.924594583641999,3321.7802450108566,3428.1060410906334
2.9252699971771747,3320.310690154447,3078.0659908730536
2.9259454107123504,3318.8411352978196,3240.046902413895
2.9266208067380903,3318.1309187389465,3272.928188438697
2.927296166731907,3318.43706560833,3382.3554031377653
2.927971526725724,3318.7432124775332,2825.766780324075
2.9286468867195405,3319.0493593469473,3378.297040195343
2.9293222660510057,3319.35551498246,3280.559450440591
2.9299976665599154,3319.6616802175836,3212.413207974418
2.9306730670688252,3319.9678454527166,3365.8317615658802
2.931348467577735,3320.2740106881606,3593.937452789801
2.932023835947624,3320.580161354536,3304.0237856247
2.932699185234188,3320.8863033701696,3469.4277927728417
2.9333745345207514,3321.1924453857328,3371.1433791561576
2.934049883807315,3321.4985874011845,3301.2678275460053
2.9347252164417026,3321.8047218683178,3559.9136843691313
2.9354005443147786,3322.1108541772073,3173.686201005286
2.936075872187854,3322.4169864859305,3173.322200164897
2.93675120006093,3322.723118794752,3148.505233464876
2.9374265080692368,3323.0292420984083,3632.302813453048
2.9381018145301825,3323.3353647009717,3045.284174620995
2.938777120991128,3323.6414873031854,3608.582562768735
2.93945242329335,3323.947608020744,3080.0093596443453
2.9401276762299107,3324.2537063599266,3444.771568188959
2.9408029291664715,3324.5598046989903,2997.7439560781545
2.9414781821030322,3324.865903038721,3436.2044493475723
2.942153444250252,3325.17200555306,3314.7587547120947
2.942828737698878,3325.478122257003,3458.792983596128
