# File_Name, Equilibrium_Temperature, Uncertainty_on_Equilibrium_Temperature, A_H, A_H_error, Number_of_transits
G 9-40 b_JWST_results.csv,402.8970287490433,9.281289569677067,9.778868843293132,42.03282638598629,None
HD 191939 d_JWST_results.csv,495.3015536189921,12.926390363198616,7.662413003531664,17.213595488835363,None
K2-18 b_JWST_results.csv,258.59024707677503,13.542313735145688,13.420053538153033,113.86926965345195,None
L 98-59 d_JWST_results.csv,380.6579289272226,9.834606820421872,11.214458802402703,23.065729144323512,None
LHS 1140 b_JWST_results.csv,206.2954597930245,3.964814102954924,13.412971648452512,118.16802625636998,None
LTT 3780 c_JWST_results.csv,331.84288879236016,11.210527637806443,12.573159285678013,79.55331749568175,None
TOI-1266 b_JWST_results.csv,378.3861109808861,9.335681317292565,10.649849392456519,38.13864740083944,None
TOI-1266 c_JWST_results.csv,315.5018915614036,7.840039452668463,13.332984645687882,42.01434598874417,None
TOI-1452 b_JWST_results.csv,298.2763576302287,9.977290192631646,13.831242692021117,76.81445251836321,None
TOI-1468 c_JWST_results.csv,309.3002161642257,5.94341003273972,13.346127375948127,48.932910407588565,None
TOI-178 g_JWST_results.csv,433.7737863703845,10.154787448740388,8.709019600881833,29.219327994642352,None
TOI-2015 b_JWST_results.csv,485.8510214454358,4.28848974299215,7.456040158935823,45.402612664625785,None
TOI-244 b_JWST_results.csv,418.0042178885421,17.95329177484502,9.701986922454923,36.12954816651401,None
TOI-2443 b_JWST_results.csv,473.0489169237217,10.42344632392082,8.09513517953297,34.9433388835841,None
TOI-260 b_JWST_results.csv,450.52638947074905,6.637479230003845,8.880279570594906,43.40731118739971,None
TOI-270 c_JWST_results.csv,448.0788038258526,10.229195450758844,8.610792070842477,47.33682963047597,None
TOI-270 d_JWST_results.csv,355.0128252545304,8.1068818515895,11.858847135576942,49.67612317849332,None
TOI-4438 b_JWST_results.csv,398.37200521627,19.29467562934845,9.624008761004776,43.17924364565548,None
