Wavelength_um,Model_Depth,Transit_Depth,Error,Num_Transits
0.8309,0.003827799820093939,0.003691546261790387,0.00029446060516505806,1.0
0.8318,0.0038348610843319006,0.004171960795176717,0.00026910866147954285,1.0
0.8328,0.0038347075894239573,0.004026303189833339,0.00026490739031440004,1.0
0.8338,0.003846847664774424,0.004106425294823716,0.000259838875306263,1.0
0.8348,0.0038667335868609928,0.00371425631118702,0.00025514649048053714,1.0
0.8357,0.003910642207095644,0.003684755194061198,0.00025247948101344035,1.0
0.8367,0.0038721200709157886,0.0038704549431986465,0.0002506623128126177,1.0
0.8377,0.0038488486491648423,0.00422887071706902,0.00024939696402090806,1.0
0.8386,0.0038684675981527595,0.003755380667787969,0.00024868943539658816,1.0
0.8396,0.003884621903239257,0.0035782851597961863,0.0002469133621130283,1.0
0.8406,0.0038475399571723874,0.0038710338150111465,0.0002443600364238563,1.0
0.8415,0.003906581494672382,0.00410558732343501,0.00024402289894035194,1.0
0.8425,0.0038666903993436964,0.004076739961096613,0.00024685711637855947,1.0
0.8435,0.003874997346734816,0.003980278455730414,0.00025145563042594976,1.0
0.8445,0.0038786309078103595,0.0030621424889883506,0.00025477542816027617,1.0
0.8454,0.0038656612543961164,0.0039354225819959125,0.00025766174706181975,1.0
0.8464,0.0038426104270917307,0.003817443602643121,0.00026182903302294407,1.0
0.8474,0.003847000197244625,0.0037552545900385883,0.00026273440156141003,1.0
0.8483,0.0038568543496793678,0.0032201011087346423,0.0002580469955148811,1.0
0.8493,0.00386193904793294,0.0033369869033715535,0.00025526163744991393,1.0
0.8503,0.0038678222436275525,0.004133902453722494,0.00025439632662249966,1.0
0.8512,0.003861375977387791,0.003937416855728597,0.0002519045251569798,1.0
0.8522,0.0038821858526198834,0.0036446813206160757,0.0002502388601400776,1.0
0.8532,0.003893624699016238,0.004010590373505766,0.00024974879484434333,1.0
0.8542,0.00388301578153302,0.0032818785033611863,0.00024678773486387157,1.0
0.8551,0.003860925450105569,0.0038462178614341804,0.000241101716604751,1.0
0.8561,0.003874154482135459,0.0039466436955408945,0.00023583314194772312,1.0
0.8571,0.003863136552621922,0.0036421077483348276,0.00023264377921834544,1.0
0.858,0.003861371498807528,0.0037647566611170914,0.00023062879270822965,1.0
0.859,0.0038614217218646265,0.004125793079448651,0.00022956039384952183,1.0
0.86,0.003873492206556085,0.003969343293591281,0.00022783282472734373,1.0
0.861,0.0038605990562527604,0.003956405931835751,0.0002249042692776693,1.0
0.8619,0.003857845070571927,0.004239220176892719,0.00022176844093698648,1.0
0.8629,0.003856034087162657,0.004269556805745999,0.0002193390583497292,1.0
0.8639,0.0038620000000001865,0.0038516515429038783,0.0002185579999723265,1.0
0.8648,0.0038603841231916987,0.0036602896645455095,0.0002208933983371102,1.0
0.8658,0.003853287226231442,0.0033661129480672377,0.0002259512858390533,1.0
0.8668,0.003861973885455859,0.004386834310467772,0.00022670723662565788,1.0
0.8677,0.0038655506476273143,0.004253185034544774,0.00022260606343731665,1.0
0.8687,0.0038691141141923508,0.004114247328965386,0.00022072406490418567,1.0
0.8697,0.0038814466852912857,0.003407602299604377,0.00021720579485885847,1.0
0.8707,0.003874612732802474,0.0034197896931868147,0.00021171881362300502,1.0
0.8716,0.003874781257968155,0.0037413268739612034,0.00020805894595967748,1.0
0.8726,0.0038763989358696614,0.003410502631261574,0.0002055543915451193,1.0
0.8736,0.0038843072807295148,0.004118667117942424,0.00020376134486244733,1.0
0.8745,0.0038640831647711736,0.0037775340438518006,0.0002026856646855577,1.0
0.8755,0.00388905053433304,0.0034933936608667697,0.00020182392559453503,1.0
0.8765,0.0038601808185881117,0.004093016499854582,0.00020090174152513572,1.0
0.8774,0.003854433166421419,0.003762927076564926,0.0001999727862315486,1.0
0.8784,0.0038711326241807485,0.0039572882177738205,0.0001989762542615875,1.0
0.8794,0.003873911093953069,0.004182235007501153,0.00019804989224825532,1.0
0.8803,0.0038570550020777974,0.003920537032202809,0.00019691111391270801,1.0
0.8813,0.003882957996689934,0.003714754888141964,0.00019554509356654382,1.0
0.8823,0.0038732768230850113,0.0040633652239968265,0.00019417182576011438,1.0
0.8833,0.0038894259826642644,0.0037358477445703234,0.0001930384603575459,1.0
0.8842,0.003886953749819522,0.003741153810441047,0.00019242080460084768,1.0
0.8852,0.003878147221141715,0.0037550489954292746,0.0001930105022585693,1.0
0.8862,0.0038922234064593677,0.004108631761203943,0.00019503518093494994,1.0
0.8871,0.003914130235066561,0.004358308943021509,0.00019660289148909992,1.0
0.8881,0.0039426134907455555,0.0036584486508408945,0.00019604094261212556,1.0
0.8891,0.003972080192952514,0.004062970130080263,0.00019399766217803637,1.0
0.89,0.003976157191691427,0.004127055652550828,0.00019248113510367962,1.0
0.891,0.004017233323977027,0.004310580550038499,0.00019235505600875968,1.0
0.892,0.004043638158531287,0.0039883122887361105,0.00019153693524494276,1.0
0.893,0.004044619696423853,0.0042489760942751205,0.0001892268503983471,1.0
0.8939,0.004029194845269075,0.004114224041084679,0.00018791535781896684,1.0
0.8949,0.003953012958578791,0.0037275316199571655,0.00018835391151132293,1.0
0.8959,0.003951476384399795,0.004036345045196685,0.00018867708163909338,1.0
0.8968,0.003944990357370691,0.003911655462124635,0.00018740508862361837,1.0
0.8978,0.003967786529645114,0.0038555886249976696,0.00018485268631358653,1.0
0.8988,0.00405956424362943,0.003850768924078156,0.00018302132411743047,1.0
0.8998,0.004031947540748021,0.004060788188057113,0.0001827925044600875,1.0
0.9007,0.004007744005815976,0.004279175273762325,0.00018351546187152812,1.0
0.9017,0.003957511782913438,0.0041296224617814225,0.0001844967619116873,1.0
0.9027,0.003926341201886357,0.004052658890563011,0.00018410726530514174,1.0
0.9036,0.003929519603946479,0.0037895752464342457,0.0001820147659316066,1.0
0.9046,0.004000749966719118,0.004118007426089399,0.00017943040374737075,1.0
0.9056,0.003993078408234721,0.003925246668229926,0.00017732042019928543,1.0
0.9065,0.003923923500582435,0.0036221526812048634,0.0001763334971514747,1.0
0.9075,0.003930877004456369,0.003936555068822794,0.00017608796174522118,1.0
0.9085,0.003977991676956147,0.003772745373695818,0.00017553288624395444,1.0
0.9095,0.003935435177483495,0.004031335437275565,0.00017471538492596373,1.0
0.9104,0.003964145725267574,0.0038535799077163545,0.00017406441894777714,1.0
0.9114,0.003959855827387932,0.004102104784624448,0.00017336819802651063,1.0
0.9124,0.003943657722082505,0.004099521471314892,0.00017232910635752054,1.0
0.9133,0.0039383895721740335,0.004048417293356087,0.00017130204265614237,1.0
0.9143,0.003904890437271773,0.003963983597287318,0.00017043329430838823,1.0
0.9153,0.0039036105313662367,0.003995598291239386,0.00016957354694441953,1.0
